	SRR2672238	SRR2672239	SRR2672242	SRR2672244	SRR2672255	SRR2672260	SRR2672261	SRR2672262	SRR2672263	SRR2672243	SRR2672257	SRR2672259	SRR2672235	SRR2672237	SRR2672240	SRR2672264	SRR2672236	SRR2672241	SRR2672258	SRR2672256
g__Achromobacter	0	11.7274081255302	0	0	0	0	0	0	0	0	0	0	21.4882121807466	0	0	0	0	0	2.68690804057231	0
g__Acidovorax	0	43.0004964602773	0	0	0	0	0	0	0	0	0	0	0	1.93637835283911	0	0	0	0	0	0
g__Acinetobacter	0	1755.20208278768	0	11.8259623799242	0	47.9878332385883	3.77439675703831	14.1411913105208	87.1088126610367	2.97878361371133	855.514137807614	79.0227519673372	33.7671905697446	7.74551341135647	0	0	142.395436442013	201.38308382096	34.92980452744	14.539765531741
g__Actinobacillus	0	0	0	5.0682695913961	0	0	0	0	0	123.61951996902	0	182.191344813583	0	0	723.226054801871	0	0	0	0	39.2573669357008
g__Actinomyces	1775.15683059287	29955.709488646	0	16.8942319713203	18.0323139065205	0	7.54879351407661	0	36.677394804647	5.95756722742268	61.1081527005438	188.776574144194	18.418467583497	0	32.0785750113733	0	94.930290961342	18.9984041340527	5.37381608114462	2.90795310634821
g__Adlercreutzia	0	0	0	0	14.0251330384049	0	0	0	0	0	0	0	18.418467583497	0	23.3298727355442	0	0	0	0	0
g__Aerococcus	0	27.3639522929038	0	0	0	0	0	0	0	1.48939180685567	0	0	0	0	0	0	608.416864797692	243.179572915874	26.8690804057231	0
g__Aggregatibacter	0	160.274577715579	0	89.5394294479979	0	188.259961166768	60.3903481126129	0	424.082377428732	0	0	0	0	0	5838.30065206995	0	0	0	0	1328.93456960113
g__Agrobacterium	6528.96664811279	582.461270234666	687.013930111398	11.8259623799242	6.01077130217349	29.5309743006696	26.4207772992682	2.82823826210415	34.3850576293566	7.44695903427835	2.18243402501942	24.1458408789086	39.9066797642436	19.3637835283911	8.74870227582908	56.5751657652357	146.710449667528	319.173189452085	126.284677906899	33.4414607230044
g__Akkermansia	1684.89461886781	0	0	1.68942319713203	997.7880361608	0	0	0	2560.54062479941	0	0	390.723606949611	2704.44499017682	0	16470.8901512942	43823.1234017515	0	0	0	0
g__Alistipes	0	0	0	1038.9952662362	0	0	0	0	495.144829862735	0	0	0	0	0	0	0	0	0	0	0
g__Alloiococcus	0	488.642005230424	0	0	0	0	0	0	0	4.46817542056701	0	0	0	69.7096207022083	5.83246818388606	0	0	0	0	0
g__Anaerococcus	0	820.918568787113	111.489102693516	0	16.0287234724627	29.5309743006696	0	28.2823826210415	84.8164754857462	0	381.925954378399	4.39015288707428	0	0	0	0	43.1501322551554	0	0	0
g__Anaerofustis	0	0	0	1.68942319713203	20.0359043405783	0	0	0	64.1854409081322	4.46817542056701	0	0	0	77.4551341135647	0	0	0	0	0	0
g__Anaerostipes	1113.23394460909	0	0	0	12.021542604347	0	0	0	0	0	0	0	73.6738703339882	0	20.4136386436012	0	0	0	0	0
g__Anaerotruncus	0	0	0	3.37884639426407	8.01436173623132	0	30.1951740563064	36.767097407354	0	0	0	0	21.4882121807466	0	2.91623409194302	0	0	0	0	0
g__Arthrobacter	2963.60928497284	66.4553127113376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Bacillus	0	0	0	0	0	0	15.0975870281533	0	25.2157089281948	0	0	0	0	0	0	0	60.4101851572175	53.1955315753476	177.335930677772	0
g__Bacteroides	339762.008635085	650468.509954615	950143.278563056	847446.774722174	778110.373789832	739071.693822859	936250.438773623	950938.550867279	420980.845230564	520943.082892101	949326.064373074	710958.919144359	737647.347740668	769553.548606969	840592.81206621	934101.246916653	530.746626738412	1261.4940345011	923401.625579365	898019.538536921
g__Bdellovibrio	1699.93832082199	62.5461766694943	0	0	4.00718086811566	0	0	0	0	0	50.1959825754467	0	0	0	0	0	0	0	0	0
g__Bifidobacterium	5205.1208761452	0	2467.82635421595	278.754827526786	32.0574469449253	22.1482307255022	596.354687612053	5761.12133990616	126.078544640974	111.704385514175	0	0	27.6277013752456	50.345837173817	107.900661401892	11.3150331530471	276.160846432995	330.572231932518	5.37381608114462	1231.51814053847
g__Bilophila	0	0	0	12604.7864738021	6722.04590626402	0	10217.2920213027	0	7947.53298673196	0	2.18243402501942	654.132780174069	3560.90373280943	0	0	0	0	7.59936165362108	0	822.950729096542
g__Blastococcus	2873.34707324778	1043.73932317219	0	0	6.01077130217349	0	0	0	11.4616858764522	0	0	0	0	0	0	0	0	0	0	0
g__Blautia	141410.798369263	578.552134192823	159.700606560983	5411.2225004139	50.0897608514458	258.396025130859	17282.9627504784	6536.05862372269	3307.8425439441	2170.04386258871	63.2905867255632	1044.85638712368	1132.73575638507	1157.95425499779	1889.71969157909	848.627486478536	25700.2187711706	32825.4426628162	2445.0863169208	126.495960126147
g__Brachybacterium	0	938.192650042414	0	0	0	0	0	0	0	0	0	0	0	19.3637835283911	0	0	0	0	0	0
g__Brevibacterium	0	531.6425016907	0	0	0	0	0	0	0	4.46817542056701	0	0	0	0	0	0	0	0	0	0
g__Brevundimonas	15.0437019541769	3.9091360418434	0	0	0	0	0	0	0	1.48939180685567	0	0	0	0	0	0	0	7.59936165362108	2.68690804057231	0
g__Bulleidia	0	0	0	0	0	0	0	0	0	0	0	13.1704586612229	0	0	0	0	12.9450396765466	0	0	0
g__Burkholderia	0	0	0	0	0	0	37.7439675703831	0	162.755939445621	0	0	0	0	0	0	0	0	0	0	0
g__Butyricicoccus	0	0	162.7138255527	0	0	0	7.54879351407661	0	0	0	462.676013304118	0	3.06974459724951	0	0	0	7754.07876625143	6292.27144919825	13.4345402028615	0
g__Butyricimonas	0	121.183217297145	632.775988260499	3.37884639426407	12.021542604347	0	0	0	16954.1257484481	0	0	0	26645.3831041257	0	0	0	0	0	0	1.4539765531741
g__Campylobacter	0	7454.72243179535	0	199.35193726158	38.0682182470988	140.272127928181	596.354687612053	432.720454101935	107.739847238651	145.960397071856	0	0	6.13948919449901	32.918431998265	195.387684160183	33.9450994591414	47.4651454806709	0	123.597769866326	1560.11684155581
g__Capnocytophaga	0	0	0	37.1673103369048	0	0	0	0	2.29233717529044	0	0	0	0	0	0	0	0	0	0	2.90795310634821
g__Carnobacterium	0	152.456305631892	3.01321899171666	0	0	0	0	0	0	0	0	8.78030577414858	0	0	0	0	116.50535708892	121.589786457937	0	0
g__Caulobacter	0	0	0	0	0	0	0	0	0	0	3125.24552382782	2.19507644353715	0	0	0	0	0	0	0	0
g__Chryseobacterium	8890.82785491851	1270.4692135991	578.538046409599	0	12.021542604347	107.049781839927	7.54879351407661	2.82823826210415	158.171265095041	0	261.892083002331	57.0719875319657	0	0	0	0	306.365939011603	501.557869138991	118.223953785182	1.4539765531741
g__Citrobacter	0	0	12.0528759668666	0	0	0	0	0	0	0	0	0	0	0	5.83246818388606	11.3150331530471	0	0	0	0
