	SRR1562318	SRR1562312	SRR1562300	SRR1562314	SRR1562316	SRR1562326	SRR1562290	SRR1562311	SRR1562288	SRR1562303	SRR1562302	SRR1562305	SRR1562293	SRR1562307	SRR1562309	SRR1562322	SRR1562323	SRR1562328	SRR1562292	SRR1562320	SRR1562289
g__Acidaminococcus	0	0	0	2744.73924977127	0	0	0	0	0	0	3610.10830324909	5692.59962049336	0	0	0	0	0	0	0	0	0
g__Acinetobacter	0	0	683.994528043776	0	0	2766.25172890733	1381.21546961326	0	0	1471.67034584253	0	0	0	6289.30817610064	0	0	0	7006.3694267516	0	0	0
g__Afipia	582.411182294699	2134.47171824973	683.994528043776	1829.82616651418	4136.50465356774	51175.6569847857	690.607734806629	1724.13793103448	0	735.835172921267	3610.10830324909	0	0	5241.09014675052	11295.6810631229	0	32190.635451505	31847.1337579619	50561.7977528089	0	0
g__Akkermansia	0	0	0	0	0	1383.12586445367	8287.29281767956	0	0	0	0	0	0	0	85714.2857142856	0	0	0	0	0	0
g__Anaerostipes	4659.2894583576	0	0	5489.47849954254	3102.37849017579	0	9668.50828729282	0	0	3679.17586460632	0	0	0	0	0	0	0	0	0	0	0
g__Bacillus	6406.52300524169	4802.56136606191	8207.9343365253	3659.65233302837	31023.7849017579	344398.340248962	2071.82320441989	18965.5172413793	0	0	25270.7581227437	13282.7324478179	0	297693.92033543	17940.1993355481	1104.97237569061	617474.91638796	44585.9872611465	112359.550561798	0	4807.69230769232
g__Bacteroides	516598.718695399	277481.323372465	99863.2010943912	248398.9021043	271975.180972078	4149.37759336101	423342.541436463	20689.6551724137	784452.296819788	379690.949227373	138989.16967509	421252.371916508	656657.963446475	54507.3375262055	156810.631229236	584530.386740332	56438.127090301	170700.636942675	22471.9101123595	1644.73684210526	293269.23076923
g__Bifidobacterium	582.411182294699	0	0	0	0	5532.50345781468	0	8620.68965517241	0	0	3610.10830324909	0	0	0	0	1104.97237569061	836.120401337793	1273.88535031847	0	0	0
g__Blautia	49504.9504950494	6937.03308431163	29411.7647058823	41628.5452881977	45501.5511892451	6915.62932226832	250000.000000001	41379.3103448276	53003.5335689046	17660.0441501104	28880.8664259929	28462.9981024668	122715.404699739	2096.43605870022	31229.2358803987	25414.364640884	14214.0468227425	180254.777070064	5617.97752808988	0	74519.2307692309
g__Bosea	0	0	0	0	0	1383.12586445367	0	0	0	0	19855.59566787	0	1305.48302872063	461215.932914046	0	0	0	0	0	0	0
g__Bradyrhizobium	1164.8223645894	1600.8537886873	1367.98905608755	1829.82616651418	0	35961.2724757953	0	10344.8275862069	0	0	1805.05415162455	7590.13282732448	1305.48302872063	81761.0062893083	11960.1328903654	0	48494.983277592	24840.7643312102	39325.8426966292	0	0
g__Caloramator	0	0	0	0	0	1383.12586445367	0	0	0	0	0	0	0	1048.21802935011	664.451827242525	0	7525.08361204014	3184.71337579619	0	0	0
g__Campylobacter	582.411182294699	0	0	0	1034.12616339193	0	0	0	0	0	0	0	0	0	0	0	6270.90301003344	0	0	0	0
g__Clostridium	0	74172.8922091783	1367.98905608755	22872.8270814272	0	0	16574.5856353591	3448.27586206896	0	3679.17586460632	1805.05415162455	5692.59962049336	0	0	664.451827242525	4419.88950276243	1672.24080267559	0	0	0	10817.3076923077
g__Collinsella	0	0	683.994528043776	5946.93504117109	0	0	3453.03867403315	0	0	1471.67034584253	19855.59566787	3795.06641366224	0	0	0	0	21321.0702341137	0	0	0	0
g__Coprococcus	19801.9801980198	8537.88687299893	6155.95075239398	29734.6752058555	39296.7942088934	0	27624.3093922653	1724.13793103448	78916.3722025912	22810.8903605592	36101.0830324909	17077.7988614801	0	0	1993.35548172757	4419.88950276243	3344.48160535116	15923.5668789809	0	0	0
g__Corynebacterium	0	0	0	457.456541628545	0	0	0	0	2355.71260306243	0	0	0	0	8385.74423480084	0	0	3344.48160535116	0	0	0	0
g__Dialister	1747.2335468841	0	58823.5294117647	0	91003.1023784902	0	0	53448.275862069	0	0	137184.115523466	64516.1290322581	0	0	0	12154.6961325967	6688.96321070235	2547.77070063695	5617.97752808988	0	0
g__Dorea	1164.8223645894	57630.7363927428	683.994528043776	3659.65233302837	5170.63081695966	0	29005.5248618785	3448.27586206896	15312.1319199058	7358.35172921267	3610.10830324909	0	0	4192.87211740042	6644.51827242525	9944.75138121546	0	45222.9299363058	0	0	0
g__Enterobacter	0	30949.8399146212	0	0	0	0	0	0	0	0	0	24667.9316888045	1305.48302872063	0	664.451827242525	1104.97237569061	0	0	179775.280898876	0	0
g__Enterococcus	0	0	0	457.456541628545	0	0	0	0	1177.85630153121	0	0	0	1305.48302872063	0	0	0	0	0	0	0	9615.38461538462
g__Eubacterium	0	0	2051.98358413133	0	0	0	0	0	0	0	12635.3790613719	0	0	0	5980.06644518272	1104.97237569061	0	35031.847133758	0	0	0
g__Faecalibacterium	50669.7728596389	533.617929562432	593023.255813953	393870.082342177	348500.517063083	58091.286307054	0	72413.7931034483	0	310522.442972773	55956.6787003611	250474.383301708	0	3144.65408805032	1993.35548172757	68508.2872928175	2090.30100334449	0	0	0	0
g__Haemophilus	4659.2894583576	0	0	3202.19579139982	0	0	0	0	0	0	0	0	0	1048.21802935011	0	0	0	24203.8216560509	0	0	0
g__Lachnospira	23878.8584740827	0	2051.98358413133	90576.395242452	4136.50465356774	0	0	13793.1034482759	4711.42520612485	10301.6924208977	21660.6498194946	1897.53320683112	0	0	0	89502.7624309392	2926.42140468228	0	0	0	1201.92307692308
g__Lactobacillus	582.411182294699	0	6839.94528043776	0	0	0	0	53448.275862069	0	0	14440.4332129964	1897.53320683112	0	0	664.451827242525	0	0	636.942675159235	5617.97752808988	0	0
g__Methylobacterium	582.411182294699	533.617929562432	8207.9343365253	3202.19579139982	5170.63081695966	71922.5449515907	0	0	0	0	7220.2166064982	1897.53320683112	0	0	7973.4219269103	0	84866.220735786	30573.2484076433	61797.7528089888	0	0
g__Micrococcus	0	0	0	0	0	11065.0069156293	0	0	0	0	1805.05415162455	0	0	0	0	0	0	3184.71337579619	0	0	0
g__Morganella	0	0	0	0	0	0	0	0	8244.99411071849	0	0	1897.53320683112	0	2096.43605870022	0	0	0	4458.59872611465	0	975328.947368421	0
g__Oscillospira	11648.223645894	0	20519.8358413133	25617.5663311985	29989.658738366	0	7596.68508287293	0	0	6622.51655629139	12635.3790613719	15180.265654649	1305.48302872063	2096.43605870022	39867.1096345515	11049.7237569061	2090.30100334449	36942.6751592356	0	0	0
g__Paenibacillus	0	0	0	0	0	0	690.607734806629	0	0	0	0	0	0	0	664.451827242525	0	418.060200668897	1910.82802547771	16853.9325842696	0	0
