	SRR6450965	SRR6450967	SRR6450968	SRR6450963	SRR6450964	SRR6450962	SRR6450966	SRR6450969	SRR6450970
g__Bacteroides	4600.198064	182077.2249	418340.1208	55743.79206	559754.2446	730907.0184	312223.0306	149092.2262	488056.9148
g__Prevotella	947800.5303	1858.352261	2200.065534	616198.654	990.9493295	936.329588	455056.5514	226.3775071	321.9160443
g__Faecalibacterium	7315.592755	273466.8594	100032.7669	16941.28568	65666.9089	67944.9601	24737.08579	173042.9665	281097.0899
g__Megamonas	63.89163978	106628.1231	795.7683846	46.41448132	957.9176851	81.41996418	562.2064951	403178.3402	386.2992532
g__Ruminococcus	1565.345175	84410.48937	46997.1446	32025.99211	35674.17586	11643.05488	21496.1307	86159.27921	7371.877414
g__Clostridium	4983.547903	5038.199463	157655.76	93710.83778	1090.044262	2076.209086	396.8516436	362.2040114	579.4488797
g__Roseburia	3577.931828	38860.21061	20409.11857	14852.63402	30290.01784	10503.17538	13261.45909	20102.32263	49027.81355
g__Blautia	1437.561895	29692.33946	14089.7814	12207.00859	37259.69479	59436.57385	26754.41497	17793.27206	1802.729848
g__Parabacteroides	990.3204166	17096.8408	46341.80593	8447.4356	40199.51113	26950.00814	7903.961902	2082.673066	45003.86299
g__Lachnospira	5909.97668	82510.84039	1544.726864	12067.76514	9678.271784	8019.866471	20933.9242	19332.63911	10687.61267
g__Sutterella	159.7290994	13504.02643	54720.77892	8772.336969	72306.26941	10218.2055	2910.245387	5161.407163	64.38320886
g__Coprococcus	1181.995336	7763.782779	8893.881945	69853.79438	9248.860408	10258.91549	35584.36405	10730.29384	193.1496266
g__Dialister	0	28783.81169	40818.23714	278.4868879	33.03164432	0	66.1419406	135.8265043	82571.46536
g__Oscillospira	1245.886976	10241.58579	9268.361185	18333.72012	28109.92931	14574.17359	8863.020041	90.55100285	10494.46304
g__Dorea	5718.30176	33119.96696	6506.576792	4595.03365	13576.00581	2239.049015	10086.64594	15257.84398	3154.777234
g__Phascolarctobacterium	8337.858991	0	46.80990498	464.1448132	27812.64451	23408.2397	16039.4206	1086.612034	64.38320886
g__Veillonella	511.1331182	3138.550485	2668.164584	510.5592945	1222.17084	325.6798567	694.4903763	55869.96876	7822.559876
g__Anaerostipes	0	32954.78009	2714.974489	510.5592945	2972.847988	4070.998209	859.8452279	633.85702	3702.034509
g__Streptococcus	702.8080376	3923.188107	13715.30216	1067.53307	6837.550373	651.3597134	628.3484357	18879.88409	450.682462
g__Eubacterium	0	784.6376213	1170.247624	15966.58157	990.9493295	40.70998209	23711.88571	45.27550143	64.38320886
g__Paraprevotella	0	41.29671691	0	12299.83755	15524.87283	40.70998209	11177.98796	950.7855299	0
g__Megasphaera	670.8622177	20359.28144	0	0	13741.16404	0	0	0	193.1496266
g__Haemophilus	1118.103696	7020.441875	1966.016009	278.4868879	4062.892251	1180.589481	661.419406	6112.192693	1641.771826
g__Alistipes	0	0	21907.03553	881.875145	231.2215102	203.5499104	132.2838812	0	96.57481329
g__Collinsella	447.2414785	6524.881272	12685.48425	974.7041077	66.06328863	488.5197851	727.5613466	0	0
g__Bifidobacterium	31.94581989	1775.758827	1404.297149	46.41448132	2213.120169	366.3898388	165.3548515	3033.458596	1480.813804
g__Butyricimonas	31.94581989	0	0	46.41448132	1750.677149	7327.796776	330.709703	0	0
g__Fusobacterium	31.94581989	2477.803015	374.4792398	46.41448132	4855.651714	854.9096238	0	90.55100285	386.2992532
g__Odoribacter	0	0	561.7188597	696.2172198	3831.670741	1791.239212	760.632317	0	0
g__Turicibacter	159.7290994	82.59343382	3791.602303	139.243444	0	0	0	2082.673066	0
g__Bilophila	31.94581989	123.8901507	327.6693348	139.243444	858.8227522	977.0395701	1157.483961	45.27550143	708.2152975
g__Lactobacillus	63.89163978	165.1868676	1029.817909	185.6579253	99.09493295	40.70998209	198.4258218	1946.846561	225.341231
g__Sarcina	0	289.0770184	0	185.6579253	33.03164432	40.70998209	0	3350.387106	0
g__Acidaminococcus	0	2023.539129	0	0	0	40.70998209	0	0	0
g__Holdemania	0	206.4835846	234.0495249	185.6579253	0	244.2598925	198.4258218	0	804.7901107
g__Actinomyces	31.94581989	247.7803015	748.9584796	46.41448132	198.1898659	40.70998209	165.3548515	90.55100285	32.19160443
g__Acinetobacter	0	206.4835846	93.61980995	139.243444	198.1898659	122.1299463	198.4258218	633.85702	0
g__Eggerthella	31.94581989	41.29671691	187.2396199	0	924.8860408	81.41996418	33.0709703	0	289.7244399
g__Sphingomonas	0	247.7803015	46.80990498	0	297.2847988	81.41996418	264.5677624	271.6530086	32.19160443
g__Granulicatella	31.94581989	495.5606029	374.4792398	0	99.09493295	40.70998209	99.21291091	90.55100285	0
g__Klebsiella	734.7538575	0	280.8594299	0	66.06328863	0	0	0	96.57481329
g__Lachnobacterium	0	0	0	46.41448132	33.03164432	1017.749552	0	0	0
g__Oxalobacter	0	0	0	278.4868879	0	244.2598925	231.4967921	0	0
g__SMB53	31.94581989	82.59343382	327.6693348	46.41448132	66.06328863	0	0	45.27550143	96.57481329
g__Pseudomonas	31.94581989	82.59343382	140.4297149	46.41448132	33.03164432	40.70998209	66.1419406	226.3775071	0
g__Atopobium	95.83745967	123.8901507	0	0	33.03164432	0	33.0709703	226.3775071	0
g__Neisseria	0	206.4835846	0	0	0	0	132.2838812	135.8265043	0
g__Actinobacillus	0	165.1868676	0	0	33.03164432	40.70998209	198.4258218	0	32.19160443
g__Desulfovibrio	0	0	93.61980995	324.9013692	0	40.70998209	0	0	0
g__WAL_1855D	0	289.0770184	93.61980995	46.41448132	0	0	0	0	0
g__Escherichia	31.94581989	0	327.6693348	0	0	0	0	0	64.38320886
g__Delftia	0	41.29671691	140.4297149	0	33.03164432	40.70998209	66.1419406	90.55100285	0
g__Porphyromonas	0	123.8901507	93.61980995	0	0	122.1299463	0	0	0
