	SRR2672245	SRR2672246	SRR2672250	SRR2672254	SRR2672253	SRR2672247	SRR2672251	SRR2672249	SRR2672252	SRR2672248
g__Bacteroides	579332.4445	783488.6501	431830.8475	780267.2383	747463.0256	692432.8723	930517.1358	722035.7977	722547.9574	613782.4492
g__Parabacteroides	21129.3886	137862.5709	102756.5557	77978.65088	159107.1825	196271.8158	8971.915427	118210.5754	120355.6179	66015.61422
g__Odoribacter	125663.7974	0	136958.9227	99741.50941	32.92099784	70903.96189	1.558435891	89477.50257	90027.7229	109989.2411
g__Sutterella	104077.131	9172.195385	76356.23961	15505.4949	8485.387192	18904.37769	22101.73781	14624.7431	13984.92767	173328.9194
g__Oscillospira	3008.222241	1443.642033	26506.70774	2119.938057	1892.957376	3636.422291	1616.098019	34781.5906	33028.48767	4303.566995
g__Fusobacterium	8.760111359	38849.00134	0	0	47373.31589	0	1397.916995	0	0	0
g__Ruminococcus	1503.235109	2866.311058	43873.87022	4050.736659	633.7292083	1550.273673	13966.70246	3027.394998	2871.869224	3420.784022
g__Blautia	600.9436392	132.829049	52294.00559	1891.394549	0	347.6914364	386.4921011	2715.87438	2975.431776	1875.913818
g__Bifidobacterium	126.1456036	17.47750645	49345.43833	9.851013275	24.69074838	100.3645383	710.6467665	123.3538017	139.4111274	1075.891749
g__Bilophila	3059.030886	10035.5842	3939.022413	1284.572131	12279.53219	2507.321235	433.2451778	7727.383917	7838.888535	1848.32685
g__Faecalibacterium	4993.263474	132.829049	20840.08836	12703.86672	16.46049892	121.8712251	1020.775509	181.8945889	151.3606526	5931.198102
g__Prevotella	22930.46749	6138.100265	5.066266769	7.88081062	11826.86847	39.42892578	77.92179457	64.81301445	35.84857562	358.6305829
g__Coprococcus	1925.472477	471.8926741	14684.57423	3071.545939	57.61174621	668.4995143	1316.878328	334.5187843	250.9400293	1406.935364
g__Akkermansia	355.6605212	3698.240365	12850.58566	0	6230.29884	12.54556729	0	0	0	0
g__Butyricimonas	15395.0197	0	0	0	0	0	0	0	0	0
g__Haemophilus	0	311.0996148	45.59640092	9.851013275	41.15124729	0	8870.617094	0	0	772.4351017
