	SRR1562335	SRR1562291	SRR1562301	SRR1562306	SRR1562336	SRR1562340	SRR1562341	SRR1562308	SRR1562294	SRR1562330	SRR1562334	SRR1562343	SRR1562344	SRR1562304	SRR1562325	SRR1562297	SRR1562295	SRR1562296	SRR1562310	SRR1562333	SRR1562313	SRR1562319	SRR1562299	SRR1562338	SRR1562339	SRR1562329	SRR1562332	SRR1562298	SRR1562315	SRR1562324	SRR1562327	SRR1562331	SRR1562342	SRR1562317	SRR1562337	SRR1562321
g__Acinetobacter	0	3401.36054421769	1141.55251141553	966.183574879228	0	3886.0103626943	0	0	2604.16666666667	610.87354917532	0	0	1509.81378963261	0	0	0	747.94315632012	3496.5034965035	0	0	0	0	1698.75424688562	0	0	0	0	0	0	802.568218298555	1097.69484083425	0	0	0	0	0
g__Afipia	0	0	9132.4200913242	13526.5700483092	5042.66873545383	3886.0103626943	5370.56928034373	0	18229.1666666667	5497.86194257789	0	0	1006.54252642174	6685.76886341928	736.919675755343	838.222967309303	1495.88631264024	2097.90209790209	27900.1468428781	24471.6351501669	28322.4400871459	12295.0819672131	45300.1132502832	1264.22250316056	0	1759.01495162709	27522.9357798165	2515.72327044026	1874.41424554827	6420.54574638843	12623.4906695938	44378.6982248521	1011.12234580384	2331.00233100233	56506.8493150686	0
g__Akkermansia	0	0	3424.65753424657	0	387.897595034911	0	0	6960.55684454756	0	0	0	0	0	0	5158.4377302874	0	11967.0905011219	0	0	0	6535.9477124183	0	2265.00566251416	0	0	0	0	1257.86163522013	2811.62136832239	55377.2070626003	0	91715.9763313609	13144.59049545	29137.5291375291	47945.205479452	0
g__Anaerostipes	3456.22119815668	0	1141.55251141553	966.183574879228	2327.38557020947	0	2148.22771213748	2320.18561484918	0	0	3154.57413249212	0	0	0	0	0	5983.54525056096	2097.90209790209	0	3337.04115684093	6535.9477124183	0	566.251415628539	0	1303.78096479791	0	0	0	0	0	0	0	0	1165.50116550117	0	0
g__Bacillus	1152.07373271889	214285.714285715	18264.8401826484	27053.1400966184	2327.38557020947	9067.35751295336	24704.6186895811	32482.5986078886	33854.1666666666	11606.5974343311	1051.52471083071	1454.19292292778	0	50620.8213944604	22844.5099484156	7544.00670578374	17950.6357516829	20279.7202797203	99853.1571218797	35595.1056729699	71895.4248366014	20491.8032786885	131936.57984145	3792.66750948166	0	1759.01495162709	53211.0091743119	41509.4339622641	8434.8641049672	34510.4333868379	66410.537870472	73964.4970414202	19211.324570273	8158.50815850817	66780.8219178082	0
g__Bacteroides	288018.433179724	136054.421768708	86757.99086758	141062.801932367	172614.429790535	177461.139896373	471535.982814178	222737.819025522	24739.5833333334	265119.120342089	45215.5625657203	51866.2142510906	83039.7584297938	484240.687679083	417096.536477524	333612.740989103	243829.468960359	89510.4895104894	151248.164464024	286985.53948832	191721.132897603	357923.497267759	236126.840317101	492414.664981037	679269.882659713	341688.654353562	139449.541284404	518238.993710691	14058.106841612	143659.711075441	5488.47420417124	85798.8165680473	351870.576339737	322843.822843823	20547.9452054794	11363.6363636364
g__Bifidobacterium	1152.07373271889	0	0	0	387.897595034911	0	0	0	9114.58333333332	0	0	484.730974309259	0	0	1473.83935151069	13411.5674769489	0	3496.5034965035	0	0	0	0	566.251415628539	0	0	14511.8733509235	3669.72477064219	1257.86163522013	0	0	0	2958.57988165681	0	0	0	0
g__Bilophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1473.83935151069	0	0	0	1468.42878120411	0	0	0	0	0	0	879.507475813544	0	0	937.207122774132	4012.84109149276	0	0	0	2331.00233100233	0	0
g__Blautia	35714.2857142858	40816.3265306123	63926.9406392694	30917.8743961352	108223.42901474	16839.3782383419	19334.0494092374	46403.7122969838	18229.1666666667	7941.35613927915	26288.1177707676	29083.8584585555	41771.5148465024	129894.937917861	49373.618275608	73763.6211232186	5983.54525056096	45454.5454545455	49926.5785609397	120133.481646274	45751.6339869281	2732.24043715847	46432.6160815402	10113.7800252844	9126.46675358538	51890.9410729992	27522.9357798165	28930.8176100629	3748.82849109653	23274.4783306581	3841.93194291986	5917.15976331361	8088.97876643074	8158.50815850817	23972.602739726	0
g__Bosea	27649.7695852535	173469.387755102	0	0	0	0	60150.3759398497	58004.6403712296	63802.0833333332	0	0	0	14091.5953699044	17191.9770773639	6632.27708179808	15088.0134115675	32909.4988780854	0	0	0	0	0	0	0	0	18029.9032541777	139449.541284404	0	15932.5210871603	0	114160.263446762	0	0	0	285958.904109589	0
g__Bradyrhizobium	1152.07373271889	30612.2448979591	4566.21004566211	9661.83574879228	5042.66873545383	0	5370.56928034373	2320.18561484918	5208.33333333333	1221.74709835064	0	1454.19292292778	4026.17010568697	6685.76886341928	2210.75902726603	4191.11483654651	4487.65893792072	4195.80419580419	27900.1468428781	21134.5939933259	41394.3355119826	6830.60109289619	35673.8391845978	1896.33375474083	0	879.507475813544	18348.623853211	5031.44654088051	0	6420.54574638843	13172.3380900109	20710.0591715977	3033.36703741154	1165.50116550117	42808.2191780822	0
g__Butyricimonas	0	0	0	0	0	0	0	0	0	1221.74709835064	0	0	0	0	0	0	747.94315632012	0	0	0	0	0	0	0	6518.90482398958	0	1834.8623853211	0	0	2407.70465489567	0	0	0	0	0	0
g__Caloramator	0	0	0	0	0	0	0	0	5208.33333333333	610.87354917532	0	0	0	0	0	0	1495.88631264024	699.300699300698	0	0	0	1366.12021857923	1132.50283125708	632.111251580279	0	0	0	0	0	0	68605.9275521404	2958.57988165681	0	0	1712.32876712329	0
g__Campylobacter	0	13605.4421768708	31963.4703196347	16425.1207729469	387.897595034911	27202.0725388601	1074.11385606874	0	0	0	0	0	0	0	13264.5541635962	0	0	2097.90209790209	2936.85756240823	0	26143.7908496732	0	0	632.111251580279	0	18469.6569920844	0	0	22492.9709465792	8025.68218298555	0	0	0	0	17123.2876712329	0
g__Catenibacterium	0	0	0	0	1163.69278510473	0	0	9280.74245939676	11718.75	0	0	6301.50266602037	2516.35631605436	0	0	0	0	0	0	0	0	0	566.251415628539	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Clostridium	43778.801843318	0	50228.3105022832	13526.5700483092	1551.59038013964	0	16111.7078410312	6960.55684454756	2604.16666666667	1832.62064752596	0	7755.69558894815	6039.25515853045	3820.43935052531	6632.27708179808	24308.4660519698	10471.2041884817	11888.1118881119	11747.4302496329	18909.8998887653	13071.8954248366	19125.6830601093	3397.50849377124	2528.44500632111	13037.8096479791	7036.05980650834	16513.7614678899	5031.44654088051	35613.8706654171	40128.4109149276	0	20710.0591715977	4044.48938321538	13986.013986014	0	0
g__Collinsella	4608.29493087559	0	1141.55251141553	13526.5700483092	7370.0543056633	7772.0207253886	0	11600.9280742459	0	7330.48259010384	12618.2965299685	5332.04071740184	6039.25515853045	13371.5377268386	6632.27708179808	21793.7971500419	2243.82946896037	6293.7062937063	4405.28634361233	6674.08231368186	0	0	4530.01132502832	0	0	1319.26121372032	18348.623853211	7547.16981132075	0	0	0	2958.57988165681	1011.12234580384	4662.00466200466	0	0
g__Coprococcus	27649.7695852535	6802.72108843538	47945.2054794521	41545.8937198068	37626.0667183864	9067.35751295336	7518.79699248121	20881.6705336426	5208.33333333333	1221.74709835064	11566.7718191377	11633.5433834222	36235.5309511826	35339.0639923591	11790.7148120855	25146.6890192791	38893.0441286462	53146.8531468531	8810.57268722468	34482.7586206897	17429.1938997822	0	54926.3873159682	157395.701643489	6518.90482398958	3518.02990325417	9174.31192660551	7547.16981132075	1874.41424554827	14446.227929374	8781.55872667398	41420.1183431952	11122.3458038423	9324.00932400932	6849.31506849316	0
g__Corynebacterium	0	0	17123.2876712329	2898.55072463768	0	0	1074.11385606874	0	0	4276.11484422725	0	0	0	0	0	0	0	8391.60839160839	0	0	17429.1938997822	8196.7213114754	0	1264.22250316056	0	0	1834.8623853211	3773.58490566038	6560.44985941893	802.568218298555	548.847420417124	0	1011.12234580384	0	11986.301369863	0
g__Desulfovibrio	0	0	0	0	1163.69278510473	3886.0103626943	0	2320.18561484918	2604.16666666667	0	0	484.730974309259	0	0	2947.67870302137	0	0	0	0	0	0	0	0	1264.22250316056	0	0	0	2515.72327044026	0	0	0	0	1011.12234580384	0	0	0
