sample_id	type	study
SRR6450958	disease	cr1
SRR6450980	disease	cr1
SRR6450961	disease	cr1
SRR6450957	disease	cr1
SRR6450981	disease	cr1
SRR6450953	disease	cr1
SRR6450974	disease	cr1
SRR6450972	disease	cr1
SRR6450952	disease	cr1
SRR6450975	disease	cr1
SRR6450973	disease	cr1
SRR6450955	disease	cr1
SRR6450960	disease	cr1
SRR6450954	disease	cr1
SRR6450976	disease	cr1
SRR6450959	disease	cr1
SRR6450949	disease	cr1
SRR6450977	disease	cr1
SRR6450971	disease	cr1
SRR6450948	disease	cr1
SRR6450978	disease	cr1
SRR6450947	disease	cr1
SRR6450951	disease	cr1
SRR6450979	disease	cr1
SRR6450956	disease	cr1
SRR6450950	disease	cr1
SRR6450970	healthy	cr1
SRR6450969	healthy	cr1
SRR6450968	healthy	cr1
SRR6450967	healthy	cr1
SRR6450966	healthy	cr1
SRR6450965	healthy	cr1
SRR6450964	healthy	cr1
SRR6450963	healthy	cr1
SRR6450962	healthy	cr1
SRR2672235	disease	cr2
SRR2672236	disease	cr2
SRR2672237	disease	cr2
SRR2672238	disease	cr2
SRR2672239	disease	cr2
SRR2672240	disease	cr2
SRR2672241	disease	cr2
SRR2672242	disease	cr2
SRR2672243	disease	cr2
SRR2672244	disease	cr2
SRR2672255	disease	cr2
SRR2672256	disease	cr2
SRR2672257	disease	cr2
SRR2672258	disease	cr2
SRR2672259	disease	cr2
SRR2672260	disease	cr2
SRR2672261	disease	cr2
SRR2672262	disease	cr2
SRR2672263	disease	cr2
SRR2672264	disease	cr2
SRR2672245	healthy	cr2
SRR2672246	healthy	cr2
SRR2672247	healthy	cr2
SRR2672248	healthy	cr2
SRR2672249	healthy	cr2
SRR2672250	healthy	cr2
SRR2672251	healthy	cr2
SRR2672252	healthy	cr2
SRR2672253	healthy	cr2
SRR2672254	healthy	cr2
ERR493195	disease	cr3
ERR493197	disease	cr3
ERR493199	disease	cr3
ERR493208	disease	cr3
ERR493214	disease	cr3
ERR493215	disease	cr3
ERR493216	disease	cr3
ERR493218	disease	cr3
ERR493221	disease	cr3
ERR493229	disease	cr3
ERR493230	disease	cr3
ERR493231	disease	cr3
ERR493232	disease	cr3
ERR493233	disease	cr3
ERR493236	disease	cr3
ERR493237	disease	cr3
ERR493238	disease	cr3
ERR493239	disease	cr3
ERR493241	disease	cr3
ERR493254	disease	cr3
ERR493257	disease	cr3
ERR493261	disease	cr3
ERR493262	disease	cr3
ERR493263	disease	cr3
ERR493273	disease	cr3
ERR493276	disease	cr3
ERR493281	disease	cr3
ERR493282	disease	cr3
ERR493284	disease	cr3
ERR493286	disease	cr3
ERR493288	disease	cr3
ERR493297	disease	cr3
ERR493303	disease	cr3
ERR493304	disease	cr3
ERR493305	disease	cr3
ERR493307	disease	cr3
ERR493310	disease	cr3
ERR493318	disease	cr3
ERR493319	disease	cr3
ERR493320	disease	cr3
ERR493321	disease	cr3
ERR493322	disease	cr3
ERR493325	disease	cr3
ERR493326	disease	cr3
ERR493327	disease	cr3
ERR493328	disease	cr3
ERR493330	disease	cr3
ERR493343	disease	cr3
ERR493346	disease	cr3
ERR493350	disease	cr3
ERR493351	disease	cr3
ERR493352	disease	cr3
ERR493362	disease	cr3
ERR493365	disease	cr3
ERR493370	disease	cr3
ERR493371	disease	cr3
ERR493194	disease	cr3
ERR493198	disease	cr3
ERR493202	disease	cr3
ERR493203	disease	cr3
ERR493206	disease	cr3
ERR493209	disease	cr3
ERR493212	disease	cr3
ERR493213	disease	cr3
ERR493220	disease	cr3
ERR493222	disease	cr3
ERR493223	disease	cr3
ERR493224	disease	cr3
ERR493225	disease	cr3
ERR493226	disease	cr3
ERR493227	disease	cr3
ERR493228	disease	cr3
ERR493234	disease	cr3
ERR493235	disease	cr3
ERR493242	disease	cr3
ERR493244	disease	cr3
ERR493255	disease	cr3
ERR493256	disease	cr3
ERR493258	disease	cr3
ERR493259	disease	cr3
ERR493260	disease	cr3
ERR493265	disease	cr3
ERR493268	disease	cr3
ERR493269	disease	cr3
ERR493271	disease	cr3
ERR493272	disease	cr3
ERR493283	disease	cr3
ERR493287	disease	cr3
ERR493291	disease	cr3
ERR493292	disease	cr3
ERR493295	disease	cr3
ERR493298	disease	cr3
ERR493301	disease	cr3
ERR493302	disease	cr3
ERR493309	disease	cr3
ERR493311	disease	cr3
ERR493312	disease	cr3
ERR493313	disease	cr3
ERR493314	disease	cr3
ERR493315	disease	cr3
ERR493316	disease	cr3
ERR493317	disease	cr3
ERR493323	disease	cr3
ERR493324	disease	cr3
ERR493331	disease	cr3
ERR493333	disease	cr3
ERR493344	disease	cr3
ERR493345	disease	cr3
ERR493347	disease	cr3
ERR493348	disease	cr3
ERR493349	disease	cr3
ERR493354	disease	cr3
ERR493357	disease	cr3
ERR493358	disease	cr3
ERR493360	disease	cr3
ERR493361	disease	cr3
ERR493196	healthy	cr3
ERR493200	healthy	cr3
ERR493201	healthy	cr3
ERR493204	healthy	cr3
ERR493205	healthy	cr3
ERR493207	healthy	cr3
ERR493210	healthy	cr3
ERR493211	healthy	cr3
ERR493217	healthy	cr3
ERR493219	healthy	cr3
ERR493240	healthy	cr3
ERR493243	healthy	cr3
ERR493245	healthy	cr3
ERR493246	healthy	cr3
ERR493247	healthy	cr3
ERR493248	healthy	cr3
ERR493249	healthy	cr3
ERR493250	healthy	cr3
ERR493251	healthy	cr3
ERR493252	healthy	cr3
ERR493253	healthy	cr3
ERR493264	healthy	cr3
ERR493266	healthy	cr3
ERR493267	healthy	cr3
ERR493270	healthy	cr3
ERR493274	healthy	cr3
ERR493275	healthy	cr3
ERR493277	healthy	cr3
ERR493278	healthy	cr3
ERR493279	healthy	cr3
ERR493280	healthy	cr3
ERR493285	healthy	cr3
ERR493289	healthy	cr3
ERR493290	healthy	cr3
ERR493293	healthy	cr3
ERR493294	healthy	cr3
ERR493296	healthy	cr3
ERR493299	healthy	cr3
ERR493300	healthy	cr3
ERR493306	healthy	cr3
ERR493308	healthy	cr3
ERR493329	healthy	cr3
ERR493332	healthy	cr3
ERR493334	healthy	cr3
ERR493335	healthy	cr3
ERR493336	healthy	cr3
ERR493337	healthy	cr3
ERR493338	healthy	cr3
ERR493339	healthy	cr3
ERR493340	healthy	cr3
ERR493341	healthy	cr3
ERR493342	healthy	cr3
ERR493353	healthy	cr3
ERR493355	healthy	cr3
ERR493356	healthy	cr3
ERR493359	healthy	cr3
ERR493363	healthy	cr3
ERR493364	healthy	cr3
ERR493366	healthy	cr3
ERR493367	healthy	cr3
ERR493368	healthy	cr3
ERR493369	healthy	cr3
SRR1562300	disease	cr4
SRR1562302	disease	cr4
SRR1562303	disease	cr4
SRR1562305	disease	cr4
SRR1562307	disease	cr4
SRR1562309	disease	cr4
SRR1562311	disease	cr4
SRR1562312	disease	cr4
SRR1562314	disease	cr4
SRR1562316	disease	cr4
SRR1562318	disease	cr4
SRR1562320	disease	cr4
SRR1562322	disease	cr4
SRR1562323	disease	cr4
SRR1562290	disease	cr4
SRR1562289	disease	cr4
SRR1562288	disease	cr4
SRR1562293	disease	cr4
SRR1562292	disease	cr4
SRR1562326	disease	cr4
SRR1562328	disease	cr4
SRR1562294	healthy	cr4
SRR1562297	healthy	cr4
SRR1562298	healthy	cr4
SRR1562299	healthy	cr4
SRR1562330	healthy	cr4
SRR1562331	healthy	cr4
SRR1562332	healthy	cr4
SRR1562333	healthy	cr4
SRR1562334	healthy	cr4
SRR1562335	healthy	cr4
SRR1562336	healthy	cr4
SRR1562337	healthy	cr4
SRR1562338	healthy	cr4
SRR1562339	healthy	cr4
SRR1562340	healthy	cr4
SRR1562341	healthy	cr4
SRR1562342	healthy	cr4
SRR1562343	healthy	cr4
SRR1562344	healthy	cr4
SRR1562295	healthy	cr4
SRR1562296	healthy	cr4
SRR1562301	healthy	cr4
SRR1562304	healthy	cr4
SRR1562306	healthy	cr4
SRR1562308	healthy	cr4
SRR1562310	healthy	cr4
SRR1562313	healthy	cr4
SRR1562315	healthy	cr4
SRR1562317	healthy	cr4
SRR1562319	healthy	cr4
SRR1562321	healthy	cr4
SRR1562291	healthy	cr4
SRR1562324	healthy	cr4
SRR1562325	healthy	cr4
SRR1562327	healthy	cr4
SRR1562329	healthy	cr4
