	g__Acidaminococcus	g__Acinetobacter	g__Actinobacillus	g__Actinomyces	g__Aggregatibacter	g__Akkermansia	g__Alistipes	g__Allobaculum	g__Anaerostipes	g__Anaerotruncus	g__Atopobium	g__Bacteroides	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Butyricicoccus	g__Butyricimonas	g__Candidatus Solibacter	g__Christensenella	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium	g__Cronobacter	g__Delftia	g__Desulfovibrio	g__Dialister	g__Dorea	g__Eggerthella	g__Eikenella	g__Enterobacter	g__Enterococcus	g__Erwinia	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Fusobacterium	g__Gemella	g__Granulicatella	g__Haemophilus	g__Holdemania	g__Kingella	g__Klebsiella	g__Lachnospira	g__Lactobacillus	g__Leptotrichia	g__Leuconostoc	g__Megamonas	g__Megasphaera	g__Mogibacterium	g__Morganella	g__Neisseria	g__Nitrosotalea	g__Odoribacter	g__Oribacterium	g__Oscillospira	g__Parabacteroides	g__Paraprevotella	g__Parvimonas	g__Peptostreptococcus	g__Phascolarctobacterium	g__Plesiomonas	g__Prevotella	g__Proteus	g__Pseudomonas	g__Pseudoramibacter_Eubacterium	g__Roseburia	g__Ruminococcus	g__Sarcina	g__Selenomonas	g__Serratia	g__Shigella	g__SMB53	g__Sphingomonas	g__Streptococcus	g__Sutterella	g__Turicibacter	g__Veillonella	g__Weissella	g__Zea
g__Acidaminococcus	1	0.0363845169636339	-0.0909307338703507	0.275187589364064	-0.0996154171850359	0.0379327240752444	-0.0206624112109584	0.0583122839154496	-0.0815319164707773	-0.179557329605071	-0.176330392731617	0.28977208485544	0.398840880913546	0.0454709301355642	0.0996189067948116	0.204198823933283	-0.0283799596219798	0.0795025913527685	0.0426321334873461	0.251077217734403	0.279923565781883	0.0534129076925632	-0.0661082338791847	-0.0133824216165027	0.18089684894697	0.0172399552754913	-0.0673072258103131	0.00997996644780566	0.0675007394720429	-0.0938349649768797	-0.31472419666337	-0.166545371671769	-0.186047021882507	-0.124846256032743	-0.470421570361218	0.00281536473965641	0.0504554211465739	-0.0325000211130286	-0.017293407704165	-0.130067598592626	-0.33069561790167	0.188037104842767	-0.2542117180327	-0.00153461436972042	0.0858486214995167	-0.0948274308508004	0.0891746318439993	0.339247746766208	0.507819468426643	-0.0414111077879606	-0.114782237974737	0.304613813906984	0.288502923865036	0.0105778355850645	0.0126347119567273	-0.0044230854027448	0.197030995983566	-0.28370629087222	0.028726523608023	-0.158345984144345	0.184560068263405	-0.0978052776594605	0.388450829318081	-0.2360033099808	0.0491185031896717	0.0944604129442332	-0.0867995204775136	-0.0387971703768494	-0.105838498977938	-0.095091683687494	-0.0621840812027161	0.0109987440696556	-0.0803913531560977	0.220171474052677	-0.356347411580826	0.182776207187024	-0.163814631885843	-0.378419176820844	0.057781825210466	0.0312596874782781
g__Acinetobacter	0.0363845169636339	1	-0.390457670273023	0.410119256575268	-0.202788680263174	0.153296258568734	-0.0303721462822966	0.135310572758642	-0.194046351683669	-0.0180771207715339	0.163148232943953	-0.414026687922255	-0.0462614523769763	-0.212279541565812	0.0264264233037337	-0.214934430745152	-0.179792654624771	0.00763305605104662	0.0381656677930438	-0.0769462030840823	-0.0724323371769404	-0.253666042607382	0.200419095887665	0.0790309924646464	0.485796887855735	-0.0655666724155236	-0.0576253300953361	0.119593875138236	-0.0985611236164511	0.105158889183473	-0.018095251639895	0.120584868962229	0.113492040709739	0.274713591412816	0.196841483007989	-0.35842364958398	-0.0458991318237645	0.434403405034285	0.284051690952119	-0.164996033139172	-0.234441664042582	0.394019747189552	-0.136396564491798	-0.0332209454126028	0.0268746698051614	0.0529673296708821	0.212034392072939	-0.334562027539691	-0.141686583336396	0.0400164039180818	0.0653769545597364	0.251174132303356	-0.0500411119351462	-0.0352429228327014	-0.039353087102697	-0.169902361054078	-0.186830557789772	0.126807648268573	-0.311513882069725	-0.127786145922441	-0.25658981787756	0.132517458533771	-0.19107456129567	-0.185917972128096	0.637484643126279	0.147471184700884	0.00700259686297705	0.0164587640786879	0.00211915795261111	0.0971144839177708	0.141355543234029	0.278998646144406	-0.286663677536745	0.538772977646752	0.347522915162768	-0.237321080286511	-0.19971531148126	-0.0123151294913564	0.377031749125362	0.3820541811359
g__Actinobacillus	-0.0909307338703507	-0.390457670273023	1	-0.268048119263031	0.221033472771028	-0.0644868271318677	0.151502026270437	0.0254959564597205	0.0278706229330093	0.0411130653049451	0.0155403861159845	0.201690868823417	-0.0268782162052391	0.200574695333003	-0.0270935474160702	0.141220377531681	0.0161241884406088	-0.18678650671983	-0.0041011828791509	-0.18611059819168	-0.0554330482264879	-0.0467217011638583	-0.195327452933676	-0.0896781279177306	-0.126696680999788	0.0159113022169217	-0.000244337781020419	0.0465367699098871	0.249364944312395	0.242406178665069	-0.108689657391786	0.0507060967333823	-0.232416488826137	-0.250416321607299	0.154609173823836	0.374407539934232	0.0221848529415894	-0.100017123700769	-0.164858223768867	0.209450602977804	0.20252748577912	-0.137361934608551	-0.111308912766935	0.0646629169105704	-0.249171158893708	-0.135803102837082	-0.154237832551715	0.0125657223827733	-0.076558006901557	0.00461784264633982	0.189549760085978	-0.154170155935438	-0.16875748016242	0.0835907868088251	-0.0514134258850334	0.00910699115404427	0.0905484831972696	-0.107716485129906	0.543127333365367	0.131358671854294	0.240993142196177	-0.112399874410446	0.142192605827925	0.0430090399938784	-0.26648683130924	0.162188053273555	-0.125296262423121	0.0680689939941046	0.185241304389539	-0.164515677495963	-0.10901485763438	-0.135407473125581	0.38062705043275	-0.155276346907915	-0.272073637224718	0.288209779386038	0.25970359915934	-0.081625207453876	-0.0905987083102798	-0.134831723104586
g__Actinomyces	0.275187589364064	0.410119256575268	-0.268048119263031	1	-0.344313472918975	0.0377078248317247	-0.0831124390357367	0.152238544569454	0.0390387465375822	-0.349893433332719	0.487689563312265	-0.28676043983264	0.218397342088678	-0.305457814407006	-0.241979907070698	0.0621158639294212	-0.250503968502345	0.00981004727052063	-0.117345124789451	-0.0374445265829846	-0.0950015633854141	-0.365935767348801	0.248084427352688	-0.305042339345466	0.363488473973676	-0.0742981974307423	0.201860709705271	-0.000379057141358447	-0.032210352487519	-0.198679664681474	-0.307170906848266	0.281501907595223	-0.145231113130085	0.198509673832907	0.0385367561749139	-0.0928312941720181	-0.00240246630334643	0.241882774598652	0.424236213761582	-0.132987966203333	-0.32434284930377	0.233505813686897	-0.278195777089011	0.0166313955671887	0.0735471975729351	0.0417138050975079	0.147491690796606	-0.236269421675793	-0.0885977274012012	0.337098917722307	0.26379885607761	0.194684944718311	0.0944459950003016	-0.308369834792704	0.210129862884588	-0.169816199736201	-0.278976398772664	-0.29432726728644	-0.148343474724657	-0.0408588320508733	-0.409236103260652	-0.225874409759976	-0.18373529497667	-0.0645331945703556	0.309766890993385	0.120088122730458	-0.0904856836361376	0.313916169881428	0.119435025983256	-0.126735661560932	0.245103934235813	0.395274478199462	0.0921943642173487	0.409407003248071	0.293388618812484	-0.160405912534624	0.110161185054472	-0.0386028865085226	0.421297729873184	0.419731213194117
g__Aggregatibacter	-0.0996154171850359	-0.202788680263174	0.221033472771028	-0.344313472918975	1	-0.1570201400336	0.255314646195826	-0.181640218739919	-0.291856109702364	0.192341509421154	-0.270051441592747	0.206230470633194	-0.224487594832558	0.313498284360517	-0.0625387478584017	-0.160760158963925	0.231366376404482	0.0850028504661218	-0.14153796675187	-0.240954237478723	-0.339979087853594	0.00770720397325659	-0.136343290622215	0.234075635618327	-0.275762649795524	-0.217685774393219	-0.165335960402836	-0.0523871811494916	0.392938379069585	0.534353892461578	0.260678830192746	-0.220957921960458	0.0767739107195088	-0.0346004980401569	-0.239330171405028	0.10628476819087	0.168644300653982	0.156032590327243	-0.0214985285353677	0.425786269885298	0.23914077457898	0.0598619719113494	0.203530931926683	-0.202597186631775	-0.216695998969136	-0.172355627148951	-0.203388640894122	0.016147229918406	-0.110285203853327	-0.0226647998664027	-0.110931893462662	-0.109786680243783	-0.146286164154043	0.482236277531283	0.295894485748059	0.129380928353807	0.0866410076044738	0.0730790598320843	0.580910778311728	0.379921194243346	0.400933076429849	0.179930687885443	-0.200344535485869	0.111521129271228	-0.0789333853020175	0.195348029294171	-0.342539977814648	-0.282728166018089	-0.00696897664425177	0.047728017243718	-0.227221971265457	-0.178518388545286	-0.016092706474827	-0.344270116185793	-0.14840519764323	0.252256747575282	0.0104194091415861	0.110223103259604	-0.162554364998323	-0.1669170889091
g__Akkermansia	0.0379327240752444	0.153296258568734	-0.0644868271318677	0.0377078248317247	-0.1570201400336	1	-0.155813889533425	-0.159904445538583	0.256748085104063	-0.19933812465323	0.0937433953893204	-0.273599463026898	0.0420962320187654	-0.332154938488724	0.289777763846193	0.12371113264134	-0.163304335616682	-0.0791205409349439	-0.162672159255392	0.108330814806791	-0.209984899768948	0.164010266708347	0.246704701144977	-0.120396747119902	0.132069556532262	0.128287460555609	0.0603878680730545	0.11645323621643	-0.0394523346998582	-0.169137600885739	0.287555560613523	0.126095272290618	0.382692832270267	0.197151573873456	0.233313966689366	-0.0446157182879259	0.234579187869414	0.214038013899761	0.0323149775038925	0.0329117153173217	-0.294010494358452	-0.085152515079551	0.223892141999944	0.0991394512135922	-0.181808148259866	0.0763844723627918	-0.184445024026721	0.0200002836971647	-0.138047017566061	0.0470585179157919	-0.22724306154008	0.190895039901514	0.01155365359248	-0.340701355968863	-0.096945011886387	0.0792234351546038	-0.488952327599494	-0.0178757615766702	-0.137604736526976	-0.220976411450778	-0.263436738929709	-0.119041111397053	-0.00803518300206635	-0.162004090844056	-0.210379612303514	-0.073495388481823	0.112317183359326	-0.0849521048965075	0.402812725175511	-0.180068901913999	0.0267365287132754	-0.0824072150507089	-0.0356088521881471	-0.0523508899203829	0.107357565694187	-0.0492215385189218	0.238004909890602	0.0981793906573573	0.215244938659812	0.257353353852372
g__Alistipes	-0.0206624112109584	-0.0303721462822966	0.151502026270437	-0.0831124390357367	0.255314646195826	-0.155813889533425	1	-0.31232439788738	-0.0936032490697039	0.493147529856855	-0.130157459759875	-0.0255654832283836	0.0213910644395792	0.375851342780836	0.187106344438033	-0.316602746975811	0.402624530388768	-0.152465617054631	0.539966421974385	-0.238185300900562	0.00875293420584222	0.168540583374714	0.00344084467491616	-0.296099186197107	0.146724629402272	-0.156774855435371	-0.275184920277328	0.112977491858216	0.124019180949195	0.0699616822904944	-0.140354236257738	-0.232120834729001	-0.198768489950985	-0.262198281613644	0.164373455460411	0.295884692549426	-0.220150095164945	0.0752712857251022	0.163665368684297	-0.329235838506119	0.453508258372339	-0.247215859036587	-0.231574304246629	-0.0474926890304867	-0.217262638785826	-0.125748661046648	0.0742081309303075	0.0044105674301478	-0.196540925342403	-0.0214498741709834	-0.285779969643494	-0.125867523007101	-0.355766046515123	0.460823164344274	0.27275335753561	0.22118594319152	0.15742812813943	0.547598026577907	0.429739894375585	0.144745195525228	0.320527682518508	-0.156048907666676	0.00476933424803561	-0.237882402425758	0.0331757103974628	0.287506587868362	-0.0534793160426479	0.171613894628367	-0.190278199349486	-0.186846157709433	-0.334318358291636	-0.24411956837226	-0.00843219752873585	0.10253146485275	0.158854996465486	0.0984836787990672	-0.130343127430759	-0.509825117577227	-0.196409493969966	-0.106836078259525
g__Allobaculum	0.0583122839154496	0.135310572758642	0.0254959564597205	0.152238544569454	-0.181640218739919	-0.159904445538583	-0.31232439788738	1	-0.113047112202294	-0.214631499620312	0.101390380885255	-0.141375960727572	-0.166664630253326	-0.0227635681339084	-0.140122672637308	-0.0144749084977198	-0.330726422070939	-0.0889211659481445	-0.212725423941491	-0.053978333119293	-0.0626289498463428	-0.112913843826367	-0.0927048744158197	0.036267566449442	-0.00625579379976688	0.17021585110781	0.156642950667156	-0.245677894012823	-0.334631085154497	-0.18401818295666	-0.0387039840105964	0.190380756860689	-0.0738959539522146	0.148479910748811	-0.138526738689947	-0.327776843330056	-0.0587376065540499	0.215772863657462	0.201006310661131	0.186529728877953	-0.327106254439806	0.107758862398888	-0.0021528197672152	0.0104839685054425	0.248572559685402	0.241107914366507	0.138331187739593	0.0613483927301035	0.230720666447356	-0.146025060924076	0.431585042116369	0.206792595839157	0.24983294234717	-0.0871564718187947	-0.04855003143691	-0.238604778794304	-0.0169651105762955	-0.228002367433781	-0.139096608235662	0.0305480220127123	-0.109252020520615	-0.00417497763210319	-0.0587753023667227	0.00338936479848839	0.21251595093895	-0.148434274492255	0.0268057473060933	-0.170107274210975	0.094903611462628	0.137946678026006	0.282161103892347	0.383187929483918	-0.106181236300833	0.223159001866556	0.0334422433538027	0.0855489450350704	0.0241714441322797	0.197670231220635	0.217043159633789	0.130383520781672
g__Anaerostipes	-0.0815319164707773	-0.194046351683669	0.0278706229330093	0.0390387465375822	-0.291856109702364	0.256748085104063	-0.0936032490697039	-0.113047112202294	1	0.0702555574917281	-0.042811117196511	-0.159189319957476	0.0976984168611761	-0.159332986335111	0.150770294083565	0.0559152506581529	0.17585353704914	0.0314615834409683	0.149067314639076	0.0249932920232764	0.30269505902719	0.449021680327452	0.137530043220221	-0.234777688906482	-0.139972042746384	0.099503251561025	0.0851928250337189	-0.0746197887880247	-0.22565525307698	-0.373287197118373	0.12821773845048	0.265348718178334	0.310093276773692	-0.00756958518340354	0.0789371108311006	0.268496430185771	0.0312729734664701	-0.234809163231876	-0.189849436676108	-0.131511975914922	0.0519846903238697	-0.30635176364621	0.229385533916715	0.367440619518106	-0.0405050295247522	-0.188126538686407	-0.303064728638298	-0.0169120513234726	0.00125884808690818	-0.177253955159585	-0.198150224912078	-0.124434899897736	-0.0596878420243696	-0.214578092107653	-0.406567690183715	0.290860180776907	-0.324478988263459	0.0488526055896215	-0.248100768596632	-0.0401160741276428	-0.10402738083482	-0.0451658531726631	-0.0832326617777112	0.149252910180048	-0.146248321867517	-0.213031155864916	0.525464569846129	0.268339371513118	0.139778037866175	-0.244519224419555	0.0811848121402041	-0.265765260443024	0.213703269435523	-0.0780194273727414	-0.270163707734867	0.0971054274380841	0.233198606920001	-0.0258566125735354	-0.160721488628645	-0.0368548014733288
g__Anaerotruncus	-0.179557329605071	-0.0180771207715339	0.0411130653049451	-0.349893433332719	0.192341509421154	-0.19933812465323	0.493147529856855	-0.214631499620312	0.0702555574917281	1	-0.438640316438709	0.0389757226891458	0.0681145828557063	0.114170558403106	0.244558867970554	-0.126648786428847	0.379020772048559	0.0535652799333697	0.567461275047077	-0.242582486282491	0.16989298901725	0.337932231812754	-0.150224250982478	0.115660471231165	-0.0497649359559077	-0.270677561957749	-0.267108383888727	0.14959892134628	0.0929723683317454	0.14989979146974	-0.0427993832857502	-0.150716294214571	0.0470775822022893	-0.10734345543547	0.306089452411915	0.220552057685789	-0.198741047100988	-0.162513987103896	-0.232607273271587	-0.164764127879081	0.46151378977644	-0.0325404470683536	-0.121842164183034	0.238599359395113	0.00298622166461585	-0.115969158442058	-0.0198780872031359	-0.293356006314916	-0.352809044168645	-0.306930408715429	-0.224843540222141	-0.24056402594506	-0.268815436309599	0.469920416210598	-0.301685083203042	0.341486260382412	0.0161482746258962	0.42318740682958	0.10413141172004	-0.0217509537672416	0.36079388860313	0.184126178824089	0.00857069033120268	-0.0356897073031347	0.11714035463777	0.158554100064409	0.212185703995231	0.141033013482256	-0.28960771867763	0.0468888248289258	-0.250656439399018	-0.229763723908848	-0.0457298453111309	-0.121136544002997	-0.151440858213308	0.212193882102552	-0.178138049124975	-0.293375442291883	-0.22540563662655	-0.263849227302684
