	g__Acidaminococcus	g__Acinetobacter	g__Afipia	g__Akkermansia	g__Anaerostipes	g__Bacillus	g__Bacteroides	g__Bifidobacterium	g__Blautia	g__Bosea	g__Bradyrhizobium	g__Caloramator	g__Campylobacter	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium	g__Dialister	g__Dorea	g__Enterobacter	g__Enterococcus	g__Eubacterium	g__Faecalibacterium	g__Haemophilus	g__Lachnospira	g__Lactobacillus	g__Methylobacterium	g__Micrococcus	g__Morganella	g__Oscillospira	g__Paenibacillus	g__Parabacteroides	g__Paraprevotella	g__Phascolarctobacterium	g__Phyllobacterium	g__Prevotella	g__Propionibacterium	g__Pseudomonas	g__Ralstonia	g__Roseburia	g__Ruminococcus	g__Salmonella	g__Streptococcus	g__Sutterella	g__Veillonella	g__Weissella
g__Acidaminococcus	1	-0.309552472627294	-0.412846954721452	-0.192850296811944	0.0215187232653598	-0.171338984575836	0.123112251197799	-0.269243474474613	-0.0958121649098321	0.142763630846312	0.0203960153438388	-0.427726215717014	-0.199318358917047	0.286472876335681	0.474174739512341	0.155949996046155	0.068168211909584	0.0724042704210139	-0.191372405871259	0.191195133570758	0.289591490901327	-0.163270369274427	0.204307215051774	-0.0107698996007528	0.319753387713039	0.102229786741339	0.0735996811774097	-0.0312046009907607	0.196215626963616	0.0704801307477163	-0.336567584558681	0.0621050476034822	-0.247128963596059	0.0410513363883742	-0.269970082239344	0.168847197020066	-0.227107292708155	-0.146287005052987	-0.316787096861671	0.244254288179262	-0.126900536560466	0.038394264656583	-0.154201115557368	0.0257374522176253	0.179144588894289	0.112836500350269
g__Acinetobacter	-0.309552472627294	1	0.182258124154747	0.183839842926425	0.0894888451213736	-0.0588910023533325	-0.0873588721662008	-0.0909265549401076	-0.0440744610364662	0.256050196336252	-0.0345323004543383	0.29421584652966	-0.208831787772195	-0.161314776680492	-0.0500824089454829	-0.204132179977781	0.0214009628363844	-0.331520475850269	0.167779076300761	-0.275795733536863	-0.0787024208051717	-0.0210616873084271	-0.0835456157134742	0.185858480144225	-0.367839454880055	-0.207958617604355	-0.256015816481792	0.282359524675746	0.271369558975566	-0.00163642096720778	0.0545438868970251	0.0638620275370558	0.20051827087168	0.201878334993547	0.407954950226815	-0.208638850176018	0.0401464988340615	0.0587262433456495	0.27207993316086	-0.0160119572907503	-0.122556272295068	0.122340913999728	-0.270361298826608	0.304798298476727	0.0657751947518015	-0.1051358963127
g__Afipia	-0.412846954721452	0.182258124154747	1	0.125078572936796	0.0207341682317949	0.529117013347715	-0.581024313057413	0.0556624228639959	-0.252205747188	-0.0137937544735893	0.407305193270077	0.327955962953504	0.0366106834291929	-0.233723241422738	-0.183965651120135	-0.140712165090361	-0.0738317843840109	-0.0475881329216957	0.0792635575035827	-0.199783116346564	-0.45929571362645	-0.157594137535262	0.0801410537773547	0.0355390437197882	-0.410011101431947	0.0281556198453513	0.473382862449396	0.0700842895785208	-0.369820790947838	-0.200949319393474	0.296791547091751	-0.195649645014535	-0.248053102194171	0.0139212352141182	0.36927653485697	-0.0265899498139107	0.450217406410114	-0.092172969552594	0.200040907618401	-0.12348736077636	-0.108233348998091	0.11288974806714	0.448231783772592	0.174439056984101	0.024405682122214	0.0895293573217302
g__Akkermansia	-0.192850296811944	0.183839842926425	0.125078572936796	1	0.142720379466553	0.038976030240087	0.0255984567777146	-0.114075326748843	0.084970722477558	0.0427965292754673	-0.0710295376526883	0.210793412255722	-0.111150078097703	0.108609406017968	-0.0856143239179406	-0.119629183391059	-0.186037864023077	-0.464355516272142	0.0405679986432114	0.168806114212696	0.0429293828182032	0.01488225466629	-0.154071116718372	-0.258167948242168	-0.379885903626101	-0.116520299290181	-0.0690332493771838	0.0479315174003322	-0.0492747682343883	-0.0769001595219961	0.351640469672948	0.23634239598059	0.138238193061639	0.505218609309787	0.0672878924537837	-0.446183189414493	0.154176213980793	0.0432336110663488	0.593950860459068	-0.250160239402556	-0.0155823113708361	0.128700652180642	-0.0349006668013111	0.343997102872263	-0.118532291833481	0.0651849466217785
g__Anaerostipes	0.0215187232653598	0.0894888451213736	0.0207341682317949	0.142720379466553	1	-0.262403332940864	0.40465364449625	-0.243094610657811	0.222829707325848	-0.13361466771903	-0.519870188067347	-0.398696521134428	0.379854753699481	0.107696479345833	0.221601742120597	0.370823552231562	0.0640762436093889	-0.170381966337445	0.345350122718734	-0.135284606970064	0.23047677576913	-0.421801817391265	0.190644141205227	0.231589090068837	0.316342100621594	-0.297492041896864	-0.221629986499579	-0.34328238284082	-0.0661921035664357	0.288484236832571	-0.00134278180098266	0.0935254465479202	0.316875364115231	0.602803273299633	-0.245725972142172	0.0171704241558202	-0.516552186873286	-0.199429180203928	-0.207207164807254	0.52851747545532	0.153709562248338	-0.371707700018707	-0.0234806780523276	0.221247722907004	0.144298367149492	-0.316095013698706
g__Bacillus	-0.171338984575836	-0.0588910023533325	0.529117013347715	0.038976030240087	-0.262403332940864	1	-0.450924753647225	0.176430938656787	-0.0895598308484861	0.000533136059606778	0.491687564633246	0.303296454700942	0.0802698589530045	-0.0190367895211171	-0.195558537086358	-0.24763018853548	-0.0602326690021952	0.308845310009136	-0.200988151072296	-0.0112367838811191	-0.389830429302095	-0.0413669744380148	0.176529392350438	-0.0142650281363828	-0.191893098600703	0.14633689170705	0.528175021418353	-0.00775018188688455	-0.270532207219103	-0.149606919352931	0.180666058503161	-0.12428409788829	-0.336527165829813	-0.378010872925504	0.342207650971527	0.0374387377736528	0.347873703908617	-0.163876016829074	0.062700663833062	-0.262618139765859	-0.0151363719391999	0.209699485675939	0.229875440437572	-0.221976307147986	-0.0804590558051683	0.126464944241962
g__Bacteroides	0.123112251197799	-0.0873588721662008	-0.581024313057413	0.0255984567777146	0.40465364449625	-0.450924753647225	1	-0.353536313584113	0.667135773156459	-0.0509017762015594	-0.471963000793749	-0.345652617493546	0.224805450931278	0.31989645055773	0.0500515694988489	0.401569967470325	0.201225642599382	-0.0794015796941871	0.355615786113234	0.414807354991248	0.67298173854106	-0.0829607595436031	-0.0619914990875174	0.097118185346605	0.411268186855737	-0.202175427485205	-0.444648359357235	-0.367358517220597	0.202346861015699	0.213798727788149	0.0125062454769822	0.0461229224270112	0.329288251442	0.331117981637945	-0.34449685107701	-0.0292315355697467	-0.5504244531691	0.269975895371096	-0.243797729061927	0.290791643953444	0.667634434718298	-0.115194311401437	-0.401721817752034	-0.00559288344189337	0.0761698303403044	-0.315604197798663
g__Bifidobacterium	-0.269243474474613	-0.0909265549401076	0.0556624228639959	-0.114075326748843	-0.243094610657811	0.176430938656787	-0.353536313584113	1	-0.137466360777363	0.0590237242977681	0.117188001771687	0.143320597216725	0.108541573544334	-0.104969621522099	-0.224008465074301	-0.0593453660261761	-0.238524901622454	0.349675382458935	-0.0836794889320245	-0.21382344597203	-0.172372488145264	0.18447746884105	0.111138944811489	-0.0423973092676977	0.183712565976461	0.158922196514111	-0.00388067157619635	0.447498742369371	-0.0904992944153167	-0.271610240922365	-0.12140927424259	0.0892915409949543	0.0148204951363317	-0.446632452408153	0.232816227259053	0.433970449042081	0.196510508282374	0.0441460995560368	0.177746794481983	-0.149060456991149	-0.295914510615778	-0.0302769914735186	0.216974351297418	-0.238100683795254	0.0442722125120492	0.419603108518596
g__Blautia	-0.0958121649098321	-0.0440744610364662	-0.252205747188	0.084970722477558	0.222829707325848	-0.0895598308484861	0.667135773156459	-0.137466360777363	1	-0.125789922480759	-0.243317432576243	-0.288845370171867	0.0565251682366151	0.247021173503217	-0.052126110640234	0.316366771786884	-0.0632536227466422	0.036336209425102	0.2411837074504	0.133973398227998	0.491477573956317	-0.0836075278270352	-0.0854464549900118	-0.0494759102111859	0.283648217117748	-0.058968020385761	-0.24568268382723	-0.213540448457137	-0.29200765664754	0.135066528258486	0.0502902836082719	0.0850897712442236	0.0989304340324628	0.178251136559661	-0.189803824695658	0.0606482208563567	-0.310800099249149	-0.0681324916632685	-0.126270780314867	0.219724533362416	0.824634533934011	-0.226636562129995	-0.0566110132755061	-0.0121313193950275	0.183689513547016	-0.349072033044447
g__Bosea	0.142763630846312	0.256050196336252	-0.0137937544735893	0.0427965292754673	-0.13361466771903	0.000533136059606778	-0.0509017762015594	0.0590237242977681	-0.125789922480759	1	0.262880850740564	0.225205987363578	-0.0933085870915065	-0.303021727868185	-0.12921075770768	-0.488052940539306	0.257530647556454	-0.231649772064022	-0.130456395326226	-0.0188932467089418	0.198267417825722	-0.0885868362380232	-0.0127846933595567	0.074322975580571	-0.221158990955524	-0.123816908760243	-0.252226254484789	0.382570801743661	0.180922311843718	-0.0794417155424688	-0.259189098794704	0.245486605002636	-0.172984985747579	-0.184994815178593	0.358054207221101	-0.19196095161017	0.023530006964866	0.375088707269158	0.126348842121502	-0.297138442121997	-0.0617307964831306	0.158376287696598	-0.241188279185581	0.119174270361068	0.182926246699993	0.407933913667495
