	g__Bacteroides	g__Prevotella	g__Faecalibacterium	g__Megamonas	g__Ruminococcus	g__Clostridium	g__Roseburia	g__Blautia	g__Parabacteroides	g__Lachnospira	g__Sutterella	g__Coprococcus	g__Dialister	g__Oscillospira	g__Dorea	g__Phascolarctobacterium	g__Veillonella	g__Anaerostipes	g__Streptococcus	g__Eubacterium	g__Paraprevotella	g__Megasphaera	g__Haemophilus	g__Alistipes	g__Collinsella	g__Bifidobacterium	g__Butyricimonas	g__Fusobacterium	g__Odoribacter	g__Turicibacter	g__Bilophila	g__Lactobacillus	g__Sarcina	g__Acidaminococcus	g__Holdemania	g__Actinomyces	g__Acinetobacter	g__Eggerthella	g__Sphingomonas	g__Granulicatella	g__Klebsiella	g__Lachnobacterium	g__Oxalobacter	g__SMB53	g__Pseudomonas	g__Atopobium	g__Neisseria	g__Actinobacillus	g__Desulfovibrio	g__WAL_1855D	g__Escherichia	g__Delftia	g__Porphyromonas	g__Rhodoplanes	g__Morganella	g__Parvimonas	g__Nitrosotalea	g__Microbacterium
g__Bacteroides	1	-0.648933855477821	0.491157716523551	0.00376033341976497	0.00234174353750577	-0.566883666092358	0.322645797478827	0.21622860563569	0.708957671418898	-0.272000370583851	-0.0778665158092068	-0.467786921648329	0.274946297269691	0.19563488448077	-0.553576171439099	0.0953887527007572	0.0823901815200387	0.735144998530899	-0.311296457143053	0.138839275410276	-0.0166501172656389	-0.133593896653525	-0.0783583670485125	0.364138205519322	-0.493211581374796	0.561349662706799	0.165506802567305	0.194410053476167	0.258660013458515	-0.594300343667019	0.700606340469775	-0.159417127766631	-0.127882426160825	-0.058099193688895	0.383042205171786	-0.30325101156729	-0.0385521107005146	0.401001014260293	0.680077802582352	-0.205159078892715	-0.145434633534556	0.169363433175166	0.0585820369860156	-0.326974683665731	-0.650033835754705	-0.425084712759614	-0.179135694171223	0.435826077889579	-0.135847224915486	-0.418091556988568	-0.0501714828421501	0.201377260141284	0.0740920953438964	-0.203927548436798	-0.187070969835534	0.170872257171249	0.0824761206048988	0.320730384829466
g__Prevotella	-0.648933855477821	1	-0.631737532365269	-0.438863121200625	-0.359760760577316	0.429153592062885	-0.238430133936843	-0.136694751406639	-0.381677516382782	0.276516331978439	-0.271087715835326	0.519283531903761	-0.335574648224214	0.270876661527668	0.295304387953495	0.395507653669597	-0.317516685768159	-0.703400738099709	-0.315647928938467	0.185322089732884	0.228354798890142	-0.0204330173330732	-0.343703314131954	0.0517828661102503	0.479273093452268	-0.797537096940688	0.359538333014	-0.58074566394311	0.162806634246051	0.164158268524399	0.0184465599775538	-0.0109244579830205	-0.236244414137549	-0.132184619832386	0.0670908819208822	0.0737529489754699	-0.167397744855039	-0.127527083244745	-0.613131387333148	-0.108292511352432	0.200442712641496	0.100622837304617	0.522676639549135	-0.082351390088075	0.314376733505377	0.218733222366952	0.116485719072705	-0.0297322677559128	0.302596912135315	0.082491700502023	0.196904483292883	-0.393804066450197	-0.26588292490054	-0.10677549753074	0.590061915045928	-0.296608441918644	0.508098880922558	-0.273146434490742
g__Faecalibacterium	0.491157716523551	-0.631737532365269	1	0.613418914856642	0.280783594916263	-0.391438615464774	0.801122406720167	-0.260565827761133	0.367672210459804	0.284835541841433	-0.489317625628465	-0.805471107004505	0.602517666840791	-0.257821376217961	0.187368270158488	-0.336625378230388	0.765099636915453	0.512576149765147	0.202510525042288	-0.383202123745386	-0.382525175098799	0.29215440596625	0.664141868092159	-0.298792784421596	-0.651878760790632	0.858900168844898	-0.468073111783609	0.482893358313584	-0.652014596906441	0.0411915985609603	0.0204154821538117	0.379702063581093	0.210558557929789	0.281149646607668	0.228257815252274	-0.150576927490733	-0.292192175943976	0.180802221442733	0.489171278968743	-0.0993704601278543	0.127357908139743	-0.197964508939637	-0.397066187165259	0.35946530190057	-0.505402742382547	0.0760722900616186	0.290773559414276	0.238993739514636	-0.426388360365724	-0.0546636841716004	0.233938704544713	-0.0524980174254424	0.241219681170464	-0.0638568525047929	0.05443590919449	0.204356441013154	-0.0539982358408319	0.334856949714038
g__Megamonas	0.00376033341976497	-0.438863121200625	0.613418914856642	1	0.810013491974043	-0.437637820656851	0.365187486245252	0.112317500536324	-0.390028529148711	0.448992352463156	0.0255325660579033	-0.132011181344657	0.33343782610964	-0.760108866209313	0.672056594943268	-0.379318832102105	0.743693362769954	0.267415064468813	0.680529426390833	-0.181792643769675	0.0558906431820616	0.219735274046806	0.736154056372081	-0.671469770487967	-0.400262205282642	0.68858200600079	-0.562206461653945	0.144083869038369	-0.683732181403593	0.371463409742676	-0.54279295523198	0.532935301578416	0.551239655111193	0.314817657225776	-0.312038744489798	0.352639460205109	0.370944496923609	-0.349928962874827	0.590139161607679	0.44810936658249	-0.221850860643168	-0.443136885300039	-0.505590784887401	0.268157854396014	0.300775853627814	0.622798307111569	0.707561344008639	0.0172809653304549	-0.54131725568279	0.0922526280474065	-0.171269427129584	0.441577890619684	0.0527871673372818	0.2037179723507	-0.140113198187155	0.189124053294451	-0.319862396559891	-0.131917983632911
g__Ruminococcus	0.00234174353750577	-0.359760760577316	0.280783594916263	0.810013491974043	1	-0.191515957049845	0.117943858349632	0.234976366311488	-0.391097581731462	0.130484822389853	0.328879742174161	0.228017758544665	0.448370734588966	-0.639591842903806	0.290700421371626	-0.353834281665471	0.501973609210262	0.441511824381956	0.539593017641677	0.334328056555714	0.400544551392708	-0.114157515822717	0.140905235989628	-0.253128731686194	-0.324247753908101	0.434275517819088	-0.454385162548543	0.0112438090179789	-0.279915348071267	0.419072719616792	-0.612535583238826	0.465702030207309	0.694978713792239	0.110262956015907	-0.142398294432789	0.105425951015267	0.682985626395178	-0.641352797305891	0.407580863947218	0.111184060477679	-0.487116526303188	-0.246719680845203	-0.200729477569462	0.193678524565344	0.297990769764244	0.234583407788541	0.521924646525867	-0.219593510525063	-0.170460646816724	0.271909369785029	-0.38296046372467	0.3518776134099	-0.125323988349599	0.500750853057419	-0.50681682803594	0.100434254661716	-0.15359085462945	-0.225122591066939
g__Clostridium	-0.566883666092358	0.429153592062885	-0.391438615464774	-0.437637820656851	-0.191515957049845	1	-0.308958278060824	-0.409962917519025	-0.0147794495468186	-0.438226578543557	0.130289282994694	0.168764797569065	0.160633006668037	0.246183352603103	-0.219785285336677	-0.194993042037273	-0.290158814211564	-0.339821497728947	0.0242798355806698	0.0439690601888579	-0.342212080184273	-0.133174265679514	-0.410061184775281	0.444911652277952	0.618748674292063	-0.511283177048192	-0.115007180309044	0.0583600149799907	0.142197775574394	0.577941589462901	-0.361045057853646	0.0421196681397083	-0.129925405540171	-0.0943419882764688	0.236427136318671	0.1552577486505	-0.245615509863211	-0.120002850580426	-0.809040774195222	-0.184670022176381	0.348938912253449	0.0779985551892904	0.0646056868928663	0.436568137540675	0.187532241836249	-0.368092990549259	-0.394750413791952	-0.616024923771652	0.725829719521862	0.684882340764784	0.464475813610513	-0.374376014531412	0.233996057953799	0.204965248406372	-0.0491965292750599	0.0932615171251075	-0.00396751614461727	0.144328991816858
g__Roseburia	0.322645797478827	-0.238430133936843	0.801122406720167	0.365187486245252	0.117943858349632	-0.308958278060824	1	-0.573235315766868	0.427842812506945	0.415784597446616	-0.778436332474076	-0.805301729529228	0.668924071095916	0.0411993909570537	0.28852934211773	-0.118654408985965	0.701845867348403	0.303849783060514	-0.0609456932869606	-0.146508060679283	-0.126240855383273	0.503825166104672	0.454527021008121	-0.157277584519717	-0.698427166552855	0.621691344362767	-0.285764819223514	0.332220871449668	-0.550482958155311	-0.109390568822092	0.191940197031882	0.351022819626831	0.0657832668407562	0.0263867352570378	0.256394859974114	-0.3600345924756	-0.59118625450332	0.259337889839526	0.217580163928825	-0.485116922906292	0.342835196058907	-0.148262987070065	-0.270258417035679	0.520275603304706	-0.784558854302252	0.0594745831463854	0.164949418970441	0.287103788317056	-0.439555244471156	-0.131051767151058	0.341928371258504	-0.543094188898059	-0.232296134939941	-0.025162637654258	0.374344830369133	-0.201182070102177	0.384731652353382	0.443489965314597
g__Blautia	0.21622860563569	-0.136694751406639	-0.260565827761133	0.112317500536324	0.234976366311488	-0.409962917519025	-0.573235315766868	1	-0.253211763809594	0.0162694976708675	0.541820752684838	0.532175455232963	-0.533569030836743	-0.14122452609829	-0.192710081193064	0.413065661704967	-0.373729391933736	0.289121719061114	-0.156665050649685	0.172260760019762	0.618224799022295	-0.201277758791853	-0.237344801862249	-0.106497476215716	0.0895578969868168	-0.0773590954498838	0.637086797771669	-0.0505967607988653	0.451482900435795	-0.306146667391404	0.0650125826247804	-0.488178232761223	0.483923773935696	0.30738145156568	-0.151533599120798	-0.307469138668939	0.761030206605331	-0.227485081336869	0.458045725729584	0.312555415900317	-0.620239473279833	0.54329554637513	0.458529068565571	-0.782970027868176	0.390697741928	0.159117909060548	0.163621689535751	0.270622730837825	0.00239583161037829	-0.288448273986854	-0.732272699998825	0.583684092877649	0.112836893313582	-0.127869175586807	-0.375333728355377	0.155819509604656	-0.259166786878387	-0.552542720086584
g__Parabacteroides	0.708957671418898	-0.381677516382782	0.367672210459804	-0.390028529148711	-0.391097581731462	-0.0147794495468186	0.427842812506945	-0.253211763809594	1	-0.387138658033307	-0.214862312969462	-0.699617462422057	0.45497608163963	0.684652808795825	-0.591981201610015	-0.0758574826465622	-0.148205719161173	0.550449259490349	-0.469018823535882	0.0811797665329006	-0.334374719291912	0.195087382938885	-0.179523747368772	0.580786220714872	-0.131024686021517	0.312221843503031	0.111189623208674	0.47029639824299	0.254376754478749	-0.523345746492601	0.693706816672675	-0.344921259015434	-0.433821695209787	-0.0112866362811558	0.572114495381802	-0.204505593097665	-0.570522655904349	0.712197888835372	0.122817255820622	-0.428507071495824	0.318579368325749	0.254467060993989	-0.0378639490626174	0.105838108438344	-0.890557199969919	-0.651590148961515	-0.530053709889208	0.379150874087552	0.0665943007080585	-0.063840711729027	0.333366777017037	-0.36472113727962	0.219467965494857	-0.243434348155583	-0.00844207667375791	-0.0969811665721945	0.174379034119552	0.625725495676185
g__Lachnospira	-0.272000370583851	0.276516331978439	0.284835541841433	0.448992352463156	0.130484822389853	-0.438226578543557	0.415784597446616	0.0162694976708675	-0.387138658033307	1	-0.628315475446552	-0.0591203841152513	-0.0121989329017104	-0.16165832085452	0.675099177377255	0.0382690683097653	0.34622506851964	-0.0491564023123261	-0.243602981081491	-0.15839459048532	0.303186311920522	0.486756755086862	0.379869010291448	-0.767629525055967	-0.28524298299225	0.0310841633754783	0.0372892467650382	-0.086728938571757	-0.588028387906781	-0.0811894649568497	-0.139031770997732	0.02306728389842	0.397177618426424	0.427083714693783	0.00319534722385688	-0.438691985091966	-0.0890517244935109	-0.212474660784244	0.133674014197825	-0.135993602945248	-0.162752584784982	0.0221122793712989	0.155570795957757	-0.0468127859160904	-0.0834472380907755	0.606182417398175	0.595483043481263	0.470147964353557	-0.490919806236539	-0.101943724740502	-0.229392844977171	-0.310327763495298	-0.235791026327715	-0.284447513632169	0.449007229890298	-0.455147757283923	0.243595881852215	-0.395552966117728
