	g__Bacteroides	g__Parabacteroides	g__Odoribacter	g__Sutterella	g__Oscillospira	g__Fusobacterium	g__Ruminococcus	g__Blautia	g__Bifidobacterium	g__Bilophila	g__Faecalibacterium	g__Prevotella	g__Coprococcus	g__Akkermansia	g__Butyricimonas	g__Haemophilus	g__Pseudomonas	g__Dorea	g__Paraprevotella	g__Streptococcus	g__Roseburia	g__Delftia	g__Elizabethkingia	g__Lachnospira	g__Eggerthella	g__Escherichia	g__Propionibacterium	g__Corynebacterium	g__Veillonella	g__Campylobacter	g__Staphylococcus	g__Eubacterium	g__Desulfovibrio	g__Actinobacillus	g__Alistipes	g__Neisseria	g__Micrococcus	g__Holdemania	g__Collinsella	g__Dialister	g__Rothia	g__Chryseobacterium	g__Pedobacter	g__Enterococcus	g__Mycobacterium	g__Enterobacter	g__Anaerostipes	g__Herbaspirillum	g__Acinetobacter	g__Cloacibacterium	g__Aerococcus	g__Sphingomonas	g__Agrobacterium	g__Facklamia	g__Clostridium	g__Trabulsiella	g__Lactobacillus	g__Actinomyces	g__Nitrospira	g__Comamonas	g__Oxalobacter	g__Frondihabitans	g__Enhydrobacter	g__Devosia	g__Epulopiscium	g__Gemella	g__Variovorax	g__Methylobacterium	g__Microbacterium	g__Stenotrophomonas	g__Brevundimonas	g__Gluconacetobacter	g__Anaerococcus	g__Actinotalea	g__Leptotrichia	g__Phycicoccus
g__Bacteroides	1	0.32369495726513	-0.137697100669919	-0.23588082025321	-0.239962574510955	0.67383455114831	-0.0503255389880724	-0.460037255178865	-0.602591532765346	0.33700266640446	0.0798070484500531	0.438490143086622	0.0927273163377266	0.301162441949068	0.327483841483326	0.188649669364409	-0.650170126694172	0.118064795319956	0.294206665811109	-0.788819146976418	-0.563392667065787	-0.24472045485489	-0.0762098760861948	-0.371708188896519	-0.140040507553076	0.595873684245181	-0.601600320388791	-0.453193411397843	0.253237201338347	0.260581891768026	-0.464899742878885	0.184053007962945	0.588010376445513	-0.393204660875446	-0.426694063528952	-0.0100418070872639	0.512117027972375	-0.0388120584373639	-0.373748536504218	0.00143306352620205	-0.444482878443389	-0.088997250587848	-0.0300007584456273	-0.25179086990434	-0.121453681033894	0.153436936240506	-0.132085037528821	-0.273183853998094	-0.23248978899749	-0.288948776529349	-0.308239830918515	0.0800395127734745	0.454107396557429	-0.277658323122122	0.0672396833688075	0.046613010397971	-0.294982673228473	0.122419018793468	-0.452346286761312	-0.287763942307391	-0.105123143293046	0.00701626730876696	0.0340807168109484	0.114368271217881	0.292023702834153	0.184531399067311	0.00211890170614401	0.425547267629199	0.223699677048827	0.264139879079359	-0.381236073095936	0.307093494063503	0.209162918015407	0.0941039667158266	0.685839763707172	0.430768271142841
g__Parabacteroides	0.32369495726513	1	0.229172286566993	-0.38923742388304	0.28507244768165	0.134300366556713	-0.282444592032768	-0.230590710321659	-0.395321689915731	0.778307692231206	-0.262218721615007	0.0927019219678874	-0.168772183102839	0.449136873611952	-0.152501449087473	-0.351487186439214	-0.0989840421870403	-0.225433311786321	0.212686156562222	-0.507526214753844	-0.729123045189989	0.486901891440997	0.220442112270968	0.290931211789638	0.127278849084274	0.525192065001582	-0.319556093404587	-0.297222894693481	-0.378654531157378	-0.485845685040258	-0.350055436520152	0.339560511002868	0.28806418237769	-0.304618160524412	-0.343337585161129	-0.293485259221568	0.266393085056239	0.164221101378433	0.146237852155032	-0.241293230433836	-0.303464419719168	0.450312660990986	0.408994463812044	0.133558865096505	-0.0220292620261217	0.0428835897732357	0.168461820223182	-0.163846528810543	-0.0554947776854626	-0.238997737416308	-0.0351751186557315	-0.449630439684597	0.102894973303903	-0.161065753410217	0.449802130237917	-0.600945564939233	-0.500345844613263	-0.245422763227376	-0.13642248175713	-0.419706257759371	0.222085578052586	0.161357594491933	0.273872693034403	0.0195224745016478	0.47163592418272	-0.173453735061431	0.365259962025698	-0.0844877911769554	0.133447922200917	0.631978424818084	-0.0813839831927278	0.352924695344007	0.027013037761181	0.206027190489387	-0.00964830397603894	-0.323202298203863
g__Odoribacter	-0.137697100669919	0.229172286566993	1	0.554702800529589	0.659998993910496	-0.824158855889992	0.0525882026844314	0.603179352831391	0.270709007238467	0.0269427560460427	0.464120897976844	-0.375054003968915	0.381830882110618	-0.250671812186675	0.238511514326321	-0.633611766775214	0.0532281501701007	0.264738767275281	0.218920790332587	-0.204527297197162	0.295340340338832	0.0923123841218722	-0.0830656190012573	0.385980947030083	0.0687547986323157	-0.422222948025452	0.203384610861751	-0.169641582917009	-0.533184450346636	-0.0884167736685929	-0.298618427585551	-0.167010782157756	-0.315247223036315	0.217372137144123	0.537788997038772	-0.233869876039784	0.127191896760398	0.6664642559616	0.66410790012092	-0.108883807210375	-0.267118903433604	-0.0289975772757186	0.0591728448087023	-0.0398789974091766	-0.365846527118568	-0.211404236541403	0.392176442671895	-0.0456273678268051	-0.0983906572876527	0.0829445073078651	0.311600368228237	0.0725003551370206	-0.477951107075401	0.195144973136418	0.476440573400165	-0.465005471419075	-0.242830414170883	-0.26950851707944	-0.180309246709497	0.260028976539917	0.395082948207289	-0.202369424215421	0.543380316113359	-0.13437221892158	0.312013058817804	0.0144446297913228	-0.0491294558011244	-0.259072642133546	0.328227647828773	-0.208805387166192	0.458180753155407	-0.277719619225821	-0.5237616522514	0.0361943579241517	0.000716600778339949	-0.554078961343619
g__Sutterella	-0.23588082025321	-0.38923742388304	0.554702800529589	1	-0.0315111286828865	-0.258377731243067	0.252643460309729	0.37114076146435	0.507424635974454	-0.363202057237293	0.835123933487023	0.129151848729161	0.696770715840724	0.195486158047154	0.583502006006175	0.0678704988404451	-0.422139659350703	0.688046308916902	0.18138461831222	-0.135204332520748	0.312520036981293	-0.588200378906469	-0.743089928867243	-0.0465140803222068	-0.217168055869892	-0.723258106084038	0.0258640250855331	-0.118429867971498	0.0818779911745781	0.389303701947743	-0.177514240173731	0.189673409000267	0.149118566379604	0.512996930836499	0.781614304035013	0.151248309378587	-0.512152502731087	0.728518218135287	0.119937720773543	-0.492656083746311	-0.0404442208266589	-0.704775826017275	-0.67534319838781	-0.186212291539407	-0.0149846353951288	-0.648886313540166	-0.210327863542922	0.224164163582139	-0.106905342633144	0.190000849500437	0.203964790164348	0.212455577441021	-0.261647867653778	0.310395192431333	0.209341357848614	-0.0223659727263215	-0.312197081501009	-0.583310718962678	0.243091979376012	0.600623479341934	-0.272977055301754	0.0738384719944887	-0.173498442510695	-0.772609616440029	0.0186557370907709	0.0800593660774038	-0.406997967344946	-0.326424790495725	0.201763895875787	-0.431566608080007	0.466441317584646	-0.299886547021282	-0.441253338887136	-0.240535417496054	0.00648380068421333	-0.162866858559481
g__Oscillospira	-0.239962574510955	0.28507244768165	0.659998993910496	-0.0315111286828865	1	-0.483455648826113	0.221455339275196	0.554891859857905	0.347141904086524	0.341561764807662	0.115638432015264	-0.408561317400939	0.122305059290545	-0.000971901639380369	0.0185861122527965	-0.531671650856515	0.0023531335559222	-0.0819832776664562	-0.169834256624077	-0.275630703939546	0.352237732951657	0.188260002815023	0.307356853483795	0.724704701337944	0.501136198362091	-0.045199573428345	-0.142623144258672	-0.52760957345706	-0.413476019012499	-0.331867836693755	-0.336692798230076	0.276902143323001	-0.253360251351566	-0.192575654624122	0.155366920421642	-0.575725152767649	0.421306196686124	0.102950742709658	0.246073137880629	0.140511993951092	-0.173607516264548	0.30793677267637	0.353568641152469	-0.427077929510742	-0.683450767310881	0.398705564693838	0.893378271023115	-0.55058826556594	0.438997158571743	-0.402375507530551	0.0930537415705888	-0.104134226902335	0.0355430888087012	-0.1633972383416	0.453464482828925	-0.414036174656841	-0.0300029298774881	0.242475574703899	-0.355865066045888	-0.473125236649656	0.850223650334119	-0.353739435816604	0.612971456350207	0.19630857417455	0.585198556674463	-0.287774734439724	-0.161937025754136	0.06786756657365	0.0387192647338387	-0.177511260168323	0.0666159264999918	-0.442681376609827	-0.606268802904315	0.350102452213249	0.0760018584397542	-0.467096442898817
g__Fusobacterium	0.67383455114831	0.134300366556713	-0.824158855889992	-0.258377731243067	-0.483455648826113	1	-0.0739954365027189	-0.723076863823791	-0.324848830556381	0.396338610975377	-0.34393621578921	0.703201083768116	-0.269345867548664	0.542530448243027	0.088577504129884	0.533092145117166	-0.147615450112526	-0.127297311912294	0.0279189321789256	-0.152695538212289	-0.516470609397966	-0.0974673991578932	-0.0514232459022662	-0.358930333620117	-0.202754105529214	0.484624457583857	-0.435348635308383	0.117595996951568	0.465836194719294	0.0355612993403898	0.131998550212231	0.394105486814365	0.69869884571252	-0.155675576227696	-0.351227286374314	0.185586858612412	0.0246190100299178	-0.446438986527188	-0.610153879771606	-0.111422596957993	0.0748804306710516	-0.0439087089810381	-0.063160564942181	-0.0233626964854151	0.375930734673114	0.240748499937686	-0.379339822629611	0.0303434706201554	0.237763659547505	-0.21034990745223	-0.285681336003544	-0.14494608030228	0.586836233543042	-0.140951399991872	-0.237064553870691	0.308163636298815	0.0609622332962548	0.170284441820993	0.13188074671512	-0.172552759816274	-0.302347325718864	0.344509704833949	-0.4304601851121	0.022704282604562	-0.0183659986283171	0.0434440467089714	0.10444946229367	0.367144768911835	-0.10451433880581	0.420012906393775	-0.335120477392989	0.405916808569609	0.443972583819436	-0.0758009287216406	0.0637788386678169	0.624515919894954
g__Ruminococcus	-0.0503255389880724	-0.282444592032768	0.0525882026844314	0.252643460309729	0.221455339275196	-0.0739954365027189	1	0.637781040164845	0.663515118182824	-0.370151396097997	0.701688491431403	-0.49038257988477	0.801466351069611	0.170460577086806	-0.10983461942961	0.429682175762764	-0.763349395634165	0.72436080854974	-0.385460443214202	0.205410466068757	0.370744357401669	-0.702939619433403	-0.294948699220123	0.413986632478283	0.724045036870046	0.0434977045320439	-0.0688797382759482	-0.789375279856298	0.464331604483122	0.507889958787068	-0.262411409768284	0.486500490481353	-0.183356584728935	0.0593072539016672	-0.101491687568132	-0.137990936007479	-0.264620513177606	0.346359689399231	-0.485067534130244	0.058496745242329	0.0706663799166362	-0.41650909657538	-0.355067472869882	-0.412021792415433	-0.335657993824279	-0.139611139783298	0.216720995060732	-0.309047488816926	0.0401485359755974	-0.178782447496765	-0.227743938242205	0.0148923374116908	0.390837486088412	-0.199122486584155	0.416182932431971	0.249286895499164	-0.0448195953190517	0.025497385793579	0.062283445772278	-0.26805773350569	0.16909195026567	-0.374629695526537	0.0447438068218401	-0.261884371490703	0.357862331047988	-0.0894311964311647	-0.412285037966399	-0.0764023822944823	-0.266627403966448	-0.399295516674548	-0.0207365236460132	-0.24589465875455	-0.0900497475417718	-0.1605981605582	0.323686384268654	0.158713193895458
g__Blautia	-0.460037255178865	-0.230590710321659	0.603179352831391	0.37114076146435	0.554891859857905	-0.723076863823791	0.637781040164845	1	0.552614303411614	-0.377619762583864	0.687559773934888	-0.672623739213659	0.692364290386463	-0.253470969695276	-0.0189651990867763	-0.193331655661	-0.194896383192064	0.489179730028701	-0.259762699524194	0.23408538436047	0.559350457574527	-0.254655650108951	0.00912343816787911	0.472508939513498	0.582553722030773	-0.399679368957042	0.499259306031829	-0.454748799869944	-0.0664517524676088	0.176442994550595	-0.184218359074785	0.0228951519458969	-0.517027567131294	0.0674052389089882	0.275130009739795	-0.386901712804841	-0.237409405484535	0.49215508879593	0.371717541933746	0.0457669450181859	0.0843921871485269	-0.065119051199293	-0.0140809272662804	-0.214357011463593	-0.510610466655827	-0.197416502911531	0.439437275840425	-0.163826274531621	-0.0182522657191342	-0.0320058273335385	0.0771828536940087	0.0723652466206851	-0.244664454778957	0.0537533587609273	0.446693117862457	-0.0581613473566493	0.110630621356405	0.0319587579352673	0.063279869397612	-0.0708169985598635	0.387097080800966	-0.424712108756654	0.334408258289536	-0.0409174293667287	0.190630864545943	-0.13311704845215	-0.248639234406367	-0.308619184474522	-0.0499999047727734	-0.538514688253515	0.190955585530199	-0.408371880339268	-0.326911642848662	0.0474967267597036	0.132623283934551	-0.213055237927038
g__Bifidobacterium	-0.602591532765346	-0.395321689915731	0.270709007238467	0.507424635974454	0.347141904086524	-0.324848830556381	0.663515118182824	0.552614303411614	1	-0.401079326726094	0.493714622937673	-0.408376217624313	0.54669104319267	0.18103999153619	-0.0671981711714167	0.208334656673862	-0.301548173537544	0.551846231648642	-0.191555468048292	0.396155936354664	0.622388875709136	-0.460069389319799	-0.364709750745791	0.569688929954575	0.493464388667251	-0.420328252627245	-0.098270272541214	-0.311343678673187	0.147847220165474	0.205191639125911	-0.0548092645074087	0.448718644146967	-0.313923785510478	0.369401081083504	0.331609022767901	0.0749748011286842	-0.392185191050942	0.401360766085116	-0.262990915591889	-0.00571852938233328	0.104670764484765	-0.395091871256369	-0.396368797415652	-0.168317110222923	-0.1925229852502	-0.257723274982962	0.251466922062787	-0.0939357319728572	0.206784241621269	0.101918472203489	0.0197595441680892	-0.042336067710188	0.0987096458821229	0.0504196266374399	0.256268259440327	0.0105805289913931	-0.136246380524054	-0.321496259493666	0.14571017923273	0.0734759983978461	0.141491655720249	-0.243523772561482	0.0415673476420463	-0.444655471105383	0.197812642239925	-0.0671679957358912	-0.424471093302134	-0.207327293955367	-0.198342650218218	-0.43731317330769	0.334326311519719	-0.478614483848104	-0.356354002012612	-0.234434506071774	-0.176641156911363	-0.224024761549155
g__Bilophila	0.33700266640446	0.778307692231206	0.0269427560460427	-0.363202057237293	0.341561764807662	0.396338610975377	-0.370151396097997	-0.377619762583864	-0.401079326726094	1	-0.371579296326715	0.504586941462346	-0.334825219430836	0.647613557393146	0.213153671804944	-0.351036364841702	-0.069812013983084	-0.420283103820107	0.157866525257769	-0.753704915971844	-0.673753475429403	0.398642314678089	0.244690109225562	0.187102224431842	-0.0143503294645759	0.310290759345722	-0.511629260921283	-0.249587587489171	-0.339884182603134	-0.677324569834572	-0.377701014296211	0.510811864784304	0.644605596430829	-0.434226220308173	-0.142503376587226	-0.521217241491672	0.345089663684803	-0.158425872335758	0.0447739412195847	-0.348003816810498	-0.185534380036995	0.454686627048002	0.349898144175572	-0.176914686123064	-0.193607152415018	0.329857008505389	0.354930991854816	-0.34658255760605	0.427205451993809	-0.634180310222287	-0.0704896772711465	-0.424030870827292	0.264044881133193	-0.242830698696489	0.320721007273097	-0.565512999045393	-0.333828472838505	0.0732227671332878	-0.170652310478748	-0.546491207553999	0.342673637133968	0.234031327570431	0.170555651536321	0.0722303949963316	0.442495446799465	-0.276228410255545	0.269300459830369	0.111203907164617	0.0819671590272481	0.478492927393563	-0.197133161275894	0.223505712476096	-0.0962266975630051	0.303025544809098	-0.0336347485629948	-0.0728936052093074
