	g__Acinetobacter	g__Afipia	g__Akkermansia	g__Anaerostipes	g__Bacillus	g__Bacteroides	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Bosea	g__Bradyrhizobium	g__Butyricimonas	g__Caloramator	g__Campylobacter	g__Catenibacterium	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium	g__Desulfovibrio	g__Dialister	g__Dorea	g__Enterobacter	g__Enterococcus	g__Eubacterium	g__Faecalibacterium	g__Fusobacterium	g__Haemophilus	g__Jonquetella	g__Lachnobacterium	g__Lachnospira	g__Lactobacillus	g__Megamonas	g__Megasphaera	g__Methylobacterium	g__Micrococcus	g__Mobiluncus	g__Neisseria	g__Odoribacter	g__Oscillospira	g__Paenibacillus	g__Parabacteroides	g__Paraprevotella	g__Peptoniphilus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Phyllobacterium	g__Prevotella	g__Propionibacterium	g__Pseudomonas	g__Ralstonia	g__Roseburia	g__Ruminococcus	g__Salmonella	g__Shewanella	g__SMB53	g__Streptococcus	g__Sutterella	g__Veillonella
g__Acinetobacter	1	0.0242439738954802	-0.201424741466437	0.00806834732829191	-0.0657833645595834	-0.363908822125523	-0.230884699756328	-0.206917815217469	-0.177706254301941	-0.00155050207980288	-0.0651902264336222	0.1047628538226	0.332119490024338	0.111293195865236	0.122536310264457	-0.357489978110607	-0.101533807486831	0.0437099664976638	0.0378628368739825	-0.126514944546915	0.0807396313521146	0.0738999193467026	-0.124288388795877	0.0885824702141763	-0.072912086720085	-0.185459083641482	-0.0403185196876495	0.114471902983593	0.356876878936114	0.0474426551030416	0.195856160787903	-0.00761202706837413	0.111839938050532	-0.0728417449128772	0.195118509252881	0.189124536207988	0.141081635626031	-0.2285311694941	-0.170792933645235	-0.408487636410809	0.119481406551617	-0.184444549222172	-0.0875312225093767	-0.105619556493366	0.106558285132052	0.275526367128965	0.12701877009122	0.206673325914761	0.172557563807051	-0.0622825434820263	-0.130796516488739	0.103012842091795	0.0507305136252754	-0.0761880943542192	-0.0469309243120496	-0.035140984795935	0.0863235108596248	-0.0566187154032634	-0.097388169442509
g__Afipia	0.0242439738954802	1	0.134050400228184	-0.234992355628628	0.358618839064587	-0.309550105678819	-0.10074089681068	-0.0240184435271354	-0.0721254866591985	-0.129922048351558	0.381320883335263	-0.144853473260945	0.291776935445235	0.145230083946469	-0.35798610353295	0.101467986689308	-0.127113713855069	-0.0737965747204579	0.374088906418673	-0.249525774049617	0.0152613832378509	-0.184447550956933	-0.0480155124025246	0.0854707944825729	-0.0309669250146603	0.166670911415067	0.173352045745075	0.148304894207027	0.00681206435979922	-0.22451008873154	-0.0464000729951531	0.0757420034019833	-0.0834804974337607	-0.450357046367474	0.543830088056831	-0.240637528036152	-0.0535361310756918	0.0791298744311785	-0.270687894826493	0.140678466704587	-0.0711881789008558	-0.0506090911055073	0.000806475353852589	0.0663394150674137	0.125923497719127	0.0532497816794051	0.242639121742727	0.0652316178304793	0.294591630733786	0.0396172632333693	0.00991287915117424	-0.141601542887457	-0.25975224585076	0.253247050864639	-0.199849014755397	-0.446182375357927	0.0621550779103342	-0.00273220820251619	0.174773546059436
g__Akkermansia	-0.201424741466437	0.134050400228184	1	0.0986524168824556	0.203710131811052	-0.121629476343443	-0.159027001309576	0.25469598188308	-0.205178749636501	-0.0993928354102279	0.0551977798389547	0.019910111322519	0.0279315465384696	0.100106578315547	-0.0856398375354068	0.109592265880241	-0.0811993699026163	0.0537072532188088	0.137827757637712	0.0870215795919185	-0.102953477948636	-0.342976310540158	0.24981190809855	-0.163236335234942	0.0897311464098908	-0.0242277384485364	0.175105160456411	0.184822158760311	0.0755111497474127	-0.0429756276546265	-0.164672193482659	-0.117593971736387	-0.221198066127948	-0.147775360803117	-0.22739749932511	0.142895097420802	-0.012578242033863	-0.0640324604285714	-0.048867705593427	0.256733562081776	0.159163385202571	-0.117743253434471	-0.0665022584138087	0.162618027035548	-0.0526250423438775	0.159270759722217	-0.153065678136131	-0.0603953734452553	0.060477275958311	0.0257713561853257	-0.00325700525870148	-0.214473779453507	-0.0505596229588035	0.112589799404484	0.0292797266484215	-0.258279911670848	0.138844384759221	-0.171818350368833	0.133383601334822
g__Anaerostipes	0.00806834732829191	-0.234992355628628	0.0986524168824556	1	-0.0859458571347575	0.329639398155119	-0.147245192592082	-0.130837075001778	0.276077640934233	-0.142253328799764	-0.0872924148302008	0.104168539649499	-0.0920614076395371	0.0159540054111343	0.0669364982915704	0.197081807501494	0.179858512099028	0.310695677861258	-0.04240618261963	-0.143761297511678	-0.082480783684975	-0.0852988479026072	0.0469899352890097	0.0972319560304946	-0.183541758481566	0.269127250732923	-0.0982772867005184	0.177244455221213	0.110228060330549	0.0863653122590996	-0.0110145292246365	-0.0818234698217281	-0.0514166778699276	-0.161723063370647	-0.346141418302738	0.0631293619216273	-0.0984121089131968	0.0353618708260908	0.0998804777940749	0.213706346332803	-0.0763837193154012	0.249982001463986	0.268926892189641	-0.0935733427987844	0.0162441132025564	0.091580643014433	-0.171843743686183	-0.053464600262958	-0.103899262276582	-0.132420542450289	-0.121524792852689	0.320371277779696	0.33635167086553	-0.151893839845083	0.044922487034758	0.329931392858793	-0.0124243083520635	-0.110519085001782	0.0490046870973347
g__Bacillus	-0.0657833645595834	0.358618839064587	0.203710131811052	-0.0859458571347575	1	-0.273331193144593	-0.0961075381865379	-0.0640066537641109	0.173533497682408	0.069461160094793	0.470932960551809	-0.260013519781233	0.224987957502582	0.157639253631267	-0.33450687442977	-0.107403144073776	-0.0769029895655765	0.0343841188637873	0.256465701967171	-0.0214249813388543	0.268322129051097	-0.0221321225967924	-0.113363461783788	-0.0680398501185653	-0.197929057806971	-0.418325615023149	0.0574103778722775	-0.125148290543478	-0.299830577131057	-0.386161429347656	0.0562097886486773	0.0995907517237546	-0.072046763917173	-0.439916671334932	0.191954531850236	0.140324974389083	0.0549659187576596	-0.0151206881832653	-0.291089743104906	-0.115993635353731	0.176773615178674	0.0889772923021205	-0.0827722691201957	-0.0439820725899156	-0.000247426175938675	-0.0801480106075447	0.372524650816891	-0.00948686411267291	0.416881061693459	-0.122685878979758	0.165637135197037	-0.0774086250924474	-0.268050498780006	0.127092705589075	-0.232275701174574	-0.464310794697933	0.409234832663895	-0.0713197694893444	0.0596822091883542
g__Bacteroides	-0.363908822125523	-0.309550105678819	-0.121629476343443	0.329639398155119	-0.273331193144593	1	-0.107475561472522	0.0582576263229142	0.112316475083565	-0.104072288415516	-0.231516645188388	0.313206211420875	-0.2380124168349	-0.0969989105949604	-0.22898046653522	0.314025069837875	0.222638337258947	-0.0329740550827634	-0.0671700875908535	0.178358398789719	-0.143581690498522	0.297895690675602	0.370154953014157	-0.0367590593991817	0.0967432470791194	0.109719673899731	0.0873964519549514	0.0800814685473911	-0.142677415071185	-0.0603191029182977	-0.25528744047507	-0.000389014200759763	0.148206845132203	-0.0633794980808355	-0.172560205062361	0.030755907987504	0.0673726832251611	-0.0239808633079558	0.187353931104122	0.282120430065638	-0.155812347527396	0.255994731113798	0.209015829549365	-0.0732756675643702	0.0252358558385634	-0.225362369623695	-0.131398921389602	-0.266361116336467	-0.13985861487669	0.037101539594126	0.145498067761823	0.307029985247626	0.305460570200773	0.306809178648679	0.00714304774870355	0.327370276284297	-0.319733746538787	0.0685154289628644	-0.274569252952117
g__Bifidobacterium	-0.230884699756328	-0.10074089681068	-0.159027001309576	-0.147245192592082	-0.0961075381865379	-0.107475561472522	1	-0.0178070374093323	0.0295290533903397	0.125427310530983	0.0279556625601725	-0.140875714958477	0.0618078513394587	-0.209403443548654	0.130546255290977	0.172733502304411	0.293091625791476	-0.00877306841172347	-0.242274962091444	0.125539455734101	-0.00744867174150585	0.0939193431569711	-0.0751675755223592	0.249875608454552	0.138548358412287	0.065338755911567	0.0272477041976357	-0.142200648946057	-0.334528131816776	0.303304444804074	0.330783622533117	0.027222035630303	0.225861953353716	0.0819068644750461	0.0491908661436359	-0.197383403223402	-0.205429967843563	0.131209249492522	0.0704279154705331	-0.211372247697965	-0.0362835597885356	0.103348815236525	-0.0436788894942013	0.0435342069242357	-0.0387269853180791	0.0135259423070862	-0.0131698999017096	-0.132558742274313	0.128739275488424	0.080836359844606	-0.179158643405242	-0.0335499867582682	0.0235877485095464	-0.218819464303078	-0.0153591695587794	0.060455963621284	-0.294187450698677	0.4084504735643	-0.0415163630353805
g__Bilophila	-0.206917815217469	-0.0240184435271354	0.25469598188308	-0.130837075001778	-0.0640066537641109	0.0582576263229142	-0.0178070374093323	1	-0.118772554353675	0.0330289896147361	-0.293856575454817	0.108379533284124	-0.20381203060831	0.317555410663935	-0.169926041251775	0.155458175830644	-0.0445457121038309	-0.167673857698946	-0.0921803392120662	-0.0472588188493052	-0.0438120250657972	0.0115917258137832	0.253245347796027	-0.0335724565406321	0.129537562245243	0.116766822685581	0.214881189074679	-0.158306184582023	0.0272016273142498	0.00779121245911997	0.0706101896452726	-0.0870341426733346	-0.153523200854031	0.140359170062239	-0.33121605504383	-0.128083290545259	0.14869212174255	-0.188710960538566	0.0931459117122579	0.163319764501712	0.118118031565955	0.146658299679544	-0.0367634150264467	0.270654261670637	-0.0793118244646543	-0.0582819930112595	-0.027697612473504	0.111509150215915	-0.166956563466328	0.12297323342888	0.100924622977922	0.0711457117796187	0.155569544263568	-0.0551611484819798	-0.190872401230091	-0.073049353878511	0.102420841432154	-0.202214716769263	0.0672852892780008
g__Blautia	-0.177706254301941	-0.0721254866591985	-0.205178749636501	0.276077640934233	0.173533497682408	0.112316475083565	0.0295290533903397	-0.118772554353675	1	0.11822388554868	0.179473757194141	-0.128252653462131	-0.319171204466961	0.124224613051047	0.0361970849386834	0.174924567224355	0.333700241602982	0.623163064856644	-0.129106793693211	-0.00308125450368271	0.450536790366438	0.293126710844212	-0.340151189447857	-0.0268549988298532	-0.0423341186469861	-0.184805702424759	0.00994040608615268	-0.086610419671055	-0.0911879734743433	0.0367073759050799	0.15489479767697	-0.124402822257102	-0.058308807270963	0.013960647815207	0.0562001254444892	0.0767517616482493	0.000701721649496276	-0.146885346809533	-0.0074267927610307	0.230334990069044	-0.0696911591558756	0.396922521912957	-0.0479088721774764	-0.202026440847213	-0.0371716353290501	-0.237485092838272	-0.00438763976181893	0.0207008432644855	-0.106413885175691	-0.384907940426659	0.038672673762339	0.411865192608853	-0.101339772624668	-0.148108875618131	-0.0627646277001945	0.323460102208746	0.0590219204601393	0.212361966728295	-0.198994833902587
g__Bosea	-0.00155050207980288	-0.129922048351558	-0.0993928354102279	-0.142253328799764	0.069461160094793	-0.104072288415516	0.125427310530983	0.0330289896147361	0.11822388554868	1	0.125662096999121	0.0545968798417092	0.0947719719287238	0.0172288269124098	0.128340943853253	-0.135783727318156	-0.155509171518421	0.0545655460926125	-0.0960561842839604	-0.050952611023475	0.32938326572038	-0.115756300412001	-0.206819049986323	0.0374009027022983	-0.154634239649362	-0.306691214806783	-0.0939268900478863	-0.0390159361626312	-0.140699002743542	-0.0879710455254056	0.258098922277925	0.0659161538023811	-0.090073805001895	0.184784192422162	-0.0995249162518739	0.230055375308722	0.117125820263022	0.164684038317282	0.501871364542259	-0.266231841755701	-0.0422896650028718	-0.0814033565847827	0.0655490291922491	0.0805625626548936	-0.0494124681211278	-0.0923292097873764	0.230891567863411	-0.0209222751624428	0.188776703080543	-0.0585063561241035	-0.214984746478952	0.0036612454659967	0.0809386976662253	-0.285143792923341	0.120367555092865	0.0241898069932938	-0.021202519733855	-0.0373798914750757	0.144205017175456
